nose,left_shoulder,left_elbow,left_wrist,left_pinky,left_index,left_hip,left_knee,left_heel,left_foot_index,right_shoulder,right_elbow,right_wrist,right_pinky,right_index,right_hip,right_knee,right_heel,right_foot_index
"{'x': 0.456048935651779, 'y': 0.246181905269623, 'z': -0.13094337284565}","{'x': 0.524304747581482, 'y': 0.357423275709152, 'z': 0.044180672615767}","{'x': 0.614767670631409, 'y': 0.333092510700226, 'z': -0.096572555601597}","{'x': 0.699608564376831, 'y': 0.266513884067535, 'z': -0.316240608692169}","{'x': 0.722259402275085, 'y': 0.243708193302155, 'z': -0.368850469589233}","{'x': 0.722529411315918, 'y': 0.235345274209976, 'z': -0.385708898305893}","{'x': 0.49652698636055, 'y': 0.638609290122986, 'z': -0.014224287122488}","{'x': 0.496655642986298, 'y': 0.867928922176361, 'z': -0.016322504729033}","{'x': 0.494655966758728, 'y': 1.057979226112366, 'z': 0.129126727581024}","{'x': 0.489255249500275, 'y': 1.141437292098999, 'z': 0.006930479314178}","{'x': 0.381396263837814, 'y': 0.352174401283264, 'z': 0.071103267371655}","{'x': 0.289391398429871, 'y': 0.300606071949005, 'z': -0.036732450127602}","{'x': 0.20983561873436, 'y': 0.206891447305679, 'z': -0.245173662900925}","{'x': 0.194335669279099, 'y': 0.181413888931274, 'z': -0.290226310491562}","{'x': 0.19604617357254, 'y': 0.176485270261765, 'z': -0.314205974340439}","{'x': 0.410893559455872, 'y': 0.636175334453583, 'z': 0.014678446575999}","{'x': 0.4252789914608, 'y': 0.857454061508179, 'z': 0.005263712722808}","{'x': 0.450300425291061, 'y': 1.061284303665161, 'z': 0.092139951884747}","{'x': 0.448173344135284, 'y': 1.134868264198303, 'z': -0.03124619834125}"
"{'x': 0.443683803081512, 'y': 0.246365040540695, 'z': -0.135091617703438}","{'x': 0.51527988910675, 'y': 0.350311815738678, 'z': 0.046152170747519}","{'x': 0.600698471069336, 'y': 0.331758379936218, 'z': -0.146213486790657}","{'x': 0.683831632137299, 'y': 0.263551890850067, 'z': -0.41852194070816}","{'x': 0.707941353321075, 'y': 0.244059920310974, 'z': -0.478027403354645}","{'x': 0.708705723285675, 'y': 0.238466799259186, 'z': -0.49474561214447}","{'x': 0.479946613311768, 'y': 0.642258107662201, 'z': -0.028318235650659}","{'x': 0.493164420127869, 'y': 0.890260934829712, 'z': -0.015965534374118}","{'x': 0.502328097820282, 'y': 1.125313520431519, 'z': 0.133391469717026}","{'x': 0.496602028608322, 'y': 1.201383948326111, 'z': -0.039457805454731}","{'x': 0.369660675525665, 'y': 0.351868212223053, 'z': 0.096129700541496}","{'x': 0.28461629152298, 'y': 0.30944812297821, 'z': -0.069352231919765}","{'x': 0.204965233802795, 'y': 0.212521463632584, 'z': -0.364683628082275}","{'x': 0.187017768621445, 'y': 0.184754282236099, 'z': -0.428156137466431}","{'x': 0.187855020165443, 'y': 0.177497655153275, 'z': -0.447141230106354}","{'x': 0.393577694892883, 'y': 0.643439292907715, 'z': 0.029132895171642}","{'x': 0.351358622312546, 'y': 0.886104702949524, 'z': 0.012848580256104}","{'x': 0.338530659675598, 'y': 1.102808713912964, 'z': 0.164773523807526}","{'x': 0.312297880649567, 'y': 1.172472238540649, 'z': 0.004936653189361}"
"{'x': 0.265099078416824, 'y': 0.244538277387619, 'z': -0.054578121751547}","{'x': 0.328789353370667, 'y': 0.354696005582809, 'z': 0.138723880052567}","{'x': 0.417287200689316, 'y': 0.363080322742462, 'z': 0.060427058488131}","{'x': 0.511762976646423, 'y': 0.291148096323013, 'z': -0.108797408640385}","{'x': 0.538657426834106, 'y': 0.273618400096893, 'z': -0.143962800502777}","{'x': 0.53955614566803, 'y': 0.26180624961853, 'z': -0.170085668563843}","{'x': 0.302568018436432, 'y': 0.635100185871124, 'z': -0.007786622270942}","{'x': 0.320315927267075, 'y': 0.898143708705902, 'z': -0.016237080097198}","{'x': 0.323986172676086, 'y': 1.1361004114151, 'z': 0.069254286587238}","{'x': 0.322992324829102, 'y': 1.219813823699951, 'z': -0.067890733480453}","{'x': 0.187791541218758, 'y': 0.324695527553558, 'z': 0.140230968594551}","{'x': 0.089983657002449, 'y': 0.247788488864899, 'z': 0.056121092289686}","{'x': 0.032696038484573, 'y': 0.182951956987381, 'z': -0.127097770571709}","{'x': 0.018443197011948, 'y': 0.160306692123413, 'z': -0.166066765785217}","{'x': 0.021301761269569, 'y': 0.158353507518768, 'z': -0.191041365265846}","{'x': 0.207233786582947, 'y': 0.633915305137634, 'z': 0.007768680807203}","{'x': 0.210305377840996, 'y': 0.890248358249664, 'z': -0.015860307961702}","{'x': 0.209682673215866, 'y': 1.144930005073547, 'z': -0.002475930610672}","{'x': 0.196110442280769, 'y': 1.219298958778381, 'z': -0.153292387723923}"
"{'x': 0.527628064155579, 'y': 0.239293903112411, 'z': -0.156565889716148}","{'x': 0.606237471103668, 'y': 0.344205856323242, 'z': -0.026933239772916}","{'x': 0.699723064899445, 'y': 0.301557779312134, 'z': -0.176399573683739}","{'x': 0.778066456317902, 'y': 0.229774117469788, 'z': -0.367524147033691}","{'x': 0.804909348487854, 'y': 0.206978172063828, 'z': -0.421616017818451}","{'x': 0.804091155529022, 'y': 0.198954433202744, 'z': -0.435439497232437}","{'x': 0.562171399593353, 'y': 0.638466835021973, 'z': -0.038615580648184}","{'x': 0.546081900596619, 'y': 0.86980664730072, 'z': -0.050598431378603}","{'x': 0.5534588098526, 'y': 1.098858118057251, 'z': 0.047968965023756}","{'x': 0.534615695476532, 'y': 1.166581630706787, 'z': -0.09135514497757}","{'x': 0.468573421239853, 'y': 0.348644763231277, 'z': 0.074338749051094}","{'x': 0.37608802318573, 'y': 0.28427991271019, 'z': 0.018265394493937}","{'x': 0.297930359840393, 'y': 0.182787775993347, 'z': -0.143719077110291}","{'x': 0.278426587581635, 'y': 0.153918147087097, 'z': -0.180756971240044}","{'x': 0.280859410762787, 'y': 0.142344355583191, 'z': -0.209455713629723}","{'x': 0.496929883956909, 'y': 0.639193475246429, 'z': 0.039179038256407}","{'x': 0.509996175765991, 'y': 0.856260776519775, 'z': 0.014452669769526}","{'x': 0.528323113918304, 'y': 1.079493284225464, 'z': 0.08421802520752}","{'x': 0.515788912773132, 'y': 1.139622569084167, 'z': -0.043198361992836}"
"{'x': 0.676420629024506, 'y': 0.208677262067795, 'z': -0.290735214948654}","{'x': 0.778401672840118, 'y': 0.326566100120544, 'z': -0.074032500386238}","{'x': 0.875715494155884, 'y': 0.359307259321213, 'z': -0.18735945224762}","{'x': 0.938311696052551, 'y': 0.330378353595734, 'z': -0.403005093336105}","{'x': 0.954278647899628, 'y': 0.307905793190002, 'z': -0.449371099472046}","{'x': 0.949678182601929, 'y': 0.306984901428223, 'z': -0.472116678953171}","{'x': 0.744417130947113, 'y': 0.646622002124786, 'z': -0.035066109150648}","{'x': 0.755599915981293, 'y': 0.894034743309021, 'z': 0.030764861032367}","{'x': 0.771121442317963, 'y': 1.112800240516663, 'z': 0.256179422140121}","{'x': 0.765742778778076, 'y': 1.190453767776489, 'z': 0.102282226085663}","{'x': 0.611976861953735, 'y': 0.322910606861115, 'z': 0.006442759651691}","{'x': 0.505665183067322, 'y': 0.351920485496521, 'z': -0.066159032285213}","{'x': 0.426204532384872, 'y': 0.275943875312805, 'z': -0.269885092973709}","{'x': 0.394697636365891, 'y': 0.242116689682007, 'z': -0.312022745609283}","{'x': 0.394916117191315, 'y': 0.226436078548431, 'z': -0.344099849462509}","{'x': 0.645704746246338, 'y': 0.647269427776337, 'z': 0.035813357681036}","{'x': 0.643963992595673, 'y': 0.894359052181244, 'z': 0.065721616148949}","{'x': 0.646575272083282, 'y': 1.117897510528564, 'z': 0.25311753153801}","{'x': 0.63193941116333, 'y': 1.19171679019928, 'z': 0.108916349709034}"
"{'x': 0.538713812828064, 'y': 0.223550319671631, 'z': -0.179634645581245}","{'x': 0.627059400081635, 'y': 0.342116057872772, 'z': 0.001855956506915}","{'x': 0.736566185951233, 'y': 0.340858429670334, 'z': -0.119585767388344}","{'x': 0.8424072265625, 'y': 0.245029896497726, 'z': -0.306315094232559}","{'x': 0.863745629787445, 'y': 0.219650834798813, 'z': -0.350199788808823}","{'x': 0.864087700843811, 'y': 0.212969183921814, 'z': -0.368631362915039}","{'x': 0.572437763214111, 'y': 0.643386423587799, 'z': -0.024429140612483}","{'x': 0.565198242664337, 'y': 0.887807130813599, 'z': -0.048456005752087}","{'x': 0.554596900939941, 'y': 1.113016486167908, 'z': 0.116001851856709}","{'x': 0.551713228225708, 'y': 1.184062242507935, 'z': -0.025782251730561}","{'x': 0.462307631969452, 'y': 0.337907373905182, 'z': 0.054928999394178}","{'x': 0.361824750900269, 'y': 0.348602265119553, 'z': -0.009471777826548}","{'x': 0.281233191490173, 'y': 0.235546588897705, 'z': -0.202454686164856}","{'x': 0.259908735752106, 'y': 0.196190267801285, 'z': -0.238293841481209}","{'x': 0.263486117124557, 'y': 0.190281301736832, 'z': -0.269159406423569}","{'x': 0.486810207366943, 'y': 0.641126871109009, 'z': 0.025160552933812}","{'x': 0.51200795173645, 'y': 0.876650094985962, 'z': 0.002973644528538}","{'x': 0.520231187343597, 'y': 1.101995229721069, 'z': 0.124851927161217}","{'x': 0.516976535320282, 'y': 1.170624017715454, 'z': -0.016767606139183}"
"{'x': 0.373128771781921, 'y': 0.210850805044174, 'z': -0.131199792027473}","{'x': 0.445707231760025, 'y': 0.34057942032814, 'z': 0.055655229836702}","{'x': 0.523482978343964, 'y': 0.260460436344147, 'z': -0.124500222504139}","{'x': 0.587333679199219, 'y': 0.114238321781158, 'z': -0.356472611427307}","{'x': 0.604852080345154, 'y': 0.07395339012146, 'z': -0.413418918848038}","{'x': 0.598976612091064, 'y': 0.062386035919189, 'z': -0.411185711622238}","{'x': 0.404626220464706, 'y': 0.643173515796661, 'z': -0.011889981105924}","{'x': 0.415152192115784, 'y': 0.896925687789917, 'z': -0.065146274864674}","{'x': 0.407519072294235, 'y': 1.064624190330505, 'z': 0.204197123646736}","{'x': 0.40458482503891, 'y': 1.159225106239319, 'z': 0.082069657742977}","{'x': 0.296528577804565, 'y': 0.323940008878708, 'z': 0.07634711265564}","{'x': 0.198037266731262, 'y': 0.225394725799561, 'z': -0.072787970304489}","{'x': 0.153835028409958, 'y': 0.101406991481781, 'z': -0.274821698665619}","{'x': 0.145154491066933, 'y': 0.068310856819153, 'z': -0.324091404676437}","{'x': 0.149391189217567, 'y': 0.063829123973846, 'z': -0.332186698913574}","{'x': 0.303305834531784, 'y': 0.648052752017975, 'z': 0.011942321434617}","{'x': 0.316884219646454, 'y': 0.886012852191925, 'z': -0.01952294819057}","{'x': 0.324185788631439, 'y': 1.130910754203796, 'z': 0.087652623653412}","{'x': 0.317701011896133, 'y': 1.204861402511597, 'z': -0.072369247674942}"
"{'x': 0.435431808233261, 'y': 0.266137361526489, 'z': -0.141410604119301}","{'x': 0.506586909294128, 'y': 0.369900196790695, 'z': 0.021267930045724}","{'x': 0.601958632469177, 'y': 0.347980380058289, 'z': -0.112184807658195}","{'x': 0.682900309562683, 'y': 0.238615572452545, 'z': -0.289300173521042}","{'x': 0.705624461174011, 'y': 0.21119213104248, 'z': -0.331554353237152}","{'x': 0.700732588768005, 'y': 0.201674848794937, 'z': -0.339723497629166}","{'x': 0.472046703100204, 'y': 0.658256411552429, 'z': -0.03357445448637}","{'x': 0.469478935003281, 'y': 0.899007499217987, 'z': -0.049120467156172}","{'x': 0.461774945259094, 'y': 1.103533864021301, 'z': 0.173101231455803}","{'x': 0.449151217937469, 'y': 1.183159351348877, 'z': 0.036303371191025}","{'x': 0.364951640367508, 'y': 0.371801286935806, 'z': 0.073099702596664}","{'x': 0.270010411739349, 'y': 0.343473613262177, 'z': 0.011470245197415}","{'x': 0.187552034854889, 'y': 0.229759007692337, 'z': -0.146621957421303}","{'x': 0.170086026191711, 'y': 0.194354653358459, 'z': -0.181129515171051}","{'x': 0.1752108335495, 'y': 0.190541684627533, 'z': -0.202538296580315}","{'x': 0.395457029342651, 'y': 0.662263751029968, 'z': 0.034102633595467}","{'x': 0.375044763088226, 'y': 0.902945637702942, 'z': -0.00967444293201}","{'x': 0.388242065906525, 'y': 1.08651876449585, 'z': 0.229017570614815}","{'x': 0.370921432971954, 'y': 1.163569450378418, 'z': 0.113029889762402}"
"{'x': 0.47861260175705, 'y': 0.285034894943237, 'z': -0.428392142057419}","{'x': 0.547760426998138, 'y': 0.393110871315002, 'z': -0.166777729988098}","{'x': 0.641993880271912, 'y': 0.402608454227448, 'z': -0.161431550979614}","{'x': 0.735856771469116, 'y': 0.367350488901138, 'z': -0.27567720413208}","{'x': 0.761300921440125, 'y': 0.356956660747528, 'z': -0.298921495676041}","{'x': 0.762213587760925, 'y': 0.348051011562347, 'z': -0.341690957546234}","{'x': 0.504587173461914, 'y': 0.650468230247498, 'z': -0.021849626675248}","{'x': 0.495433479547501, 'y': 0.879891574382782, 'z': -0.058139763772488}","{'x': 0.474415302276611, 'y': 1.044203519821167, 'z': 0.206874117255211}","{'x': 0.472412556409836, 'y': 1.103677988052368, 'z': 0.073451936244965}","{'x': 0.411561667919159, 'y': 0.382219880819321, 'z': -0.146903872489929}","{'x': 0.31212854385376, 'y': 0.38528898358345, 'z': -0.14946074783802}","{'x': 0.222365140914917, 'y': 0.325379014015198, 'z': -0.283347815275192}","{'x': 0.200839221477509, 'y': 0.300089299678802, 'z': -0.30728942155838}","{'x': 0.201184749603271, 'y': 0.291847795248032, 'z': -0.346572279930115}","{'x': 0.426721721887589, 'y': 0.643669545650482, 'z': 0.021936792880297}","{'x': 0.433990836143494, 'y': 0.878759980201721, 'z': 0.003461219137534}","{'x': 0.445825487375259, 'y': 1.066620349884033, 'z': 0.188278689980507}","{'x': 0.422302603721619, 'y': 1.116405248641968, 'z': 0.035970527678728}"
"{'x': 0.545401215553284, 'y': 0.239519029855728, 'z': -0.215130642056465}","{'x': 0.625004589557648, 'y': 0.36712184548378, 'z': 0.007424035575241}","{'x': 0.724295139312744, 'y': 0.393061995506287, 'z': -0.034386675804853}","{'x': 0.837072193622589, 'y': 0.356896817684174, 'z': -0.193072453141212}","{'x': 0.860383450984955, 'y': 0.334968358278275, 'z': -0.2213424295187}","{'x': 0.860553383827209, 'y': 0.326879531145096, 'z': -0.264191061258316}","{'x': 0.591907680034637, 'y': 0.645809352397919, 'z': -0.027477646246552}","{'x': 0.601076722145081, 'y': 0.900518894195557, 'z': -0.058378115296364}","{'x': 0.599029958248138, 'y': 1.123378276824951, 'z': 0.107945635914803}","{'x': 0.596804916858673, 'y': 1.183513402938843, 'z': -0.035971313714981}","{'x': 0.476686418056488, 'y': 0.355922669172287, 'z': 0.046461626887321}","{'x': 0.373100757598877, 'y': 0.380350917577744, 'z': -0.000187928322703}","{'x': 0.272338569164276, 'y': 0.346482247114182, 'z': -0.200932264328003}","{'x': 0.242407590150833, 'y': 0.32451993227005, 'z': -0.236808508634567}","{'x': 0.241833359003067, 'y': 0.317576259374619, 'z': -0.274586319923401}","{'x': 0.49891322851181, 'y': 0.640703439712524, 'z': 0.028095655143261}","{'x': 0.484342306852341, 'y': 0.898300886154175, 'z': -0.019934762269258}","{'x': 0.480014055967331, 'y': 1.109407424926758, 'z': 0.126580998301506}","{'x': 0.455495804548264, 'y': 1.167726278305054, 'z': -0.014230061322451}"
