nose,left_shoulder,left_elbow,left_wrist,left_pinky,left_index,left_hip,left_knee,left_heel,left_foot_index,right_shoulder,right_elbow,right_wrist,right_pinky,right_index,right_hip,right_knee,right_heel,right_foot_index
"{'x': 0.524797320365906, 'y': 0.227196365594864, 'z': -0.26071771979332}","{'x': 0.606448590755463, 'y': 0.337137639522552, 'z': -0.110565811395645}","{'x': 0.690377354621887, 'y': 0.304541021585464, 'z': -0.285753965377808}","{'x': 0.640519201755524, 'y': 0.12478494644165, 'z': -0.492597877979279}","{'x': 0.633602261543274, 'y': 0.078582286834717, 'z': -0.551583766937256}","{'x': 0.625697255134583, 'y': 0.072394132614136, 'z': -0.520386815071106}","{'x': 0.561973869800568, 'y': 0.672197878360748, 'z': -0.039192859083414}","{'x': 0.569997370243073, 'y': 0.883219599723816, 'z': -0.010740350931883}","{'x': 0.582444906234741, 'y': 1.122266292572021, 'z': 0.251673221588135}","{'x': 0.575330197811127, 'y': 1.192764043807983, 'z': 0.120200172066689}","{'x': 0.462381035089493, 'y': 0.363272100687027, 'z': -0.028690090402961}","{'x': 0.428309231996536, 'y': 0.501748263835907, 'z': 0.01524621900171}","{'x': 0.404811143875122, 'y': 0.630366325378418, 'z': -0.050072483718395}","{'x': 0.396914660930634, 'y': 0.677093386650085, 'z': -0.067899331450462}","{'x': 0.406842172145844, 'y': 0.678130745887756, 'z': -0.104798294603825}","{'x': 0.474812477827072, 'y': 0.65906298160553, 'z': 0.039749946445227}","{'x': 0.457201689481735, 'y': 0.903035998344421, 'z': 0.119479231536388}","{'x': 0.461569666862488, 'y': 1.098277688026428, 'z': 0.412114888429642}","{'x': 0.449082583189011, 'y': 1.16386866569519, 'z': 0.30043488740921}"
"{'x': 0.539546966552734, 'y': 0.224413961172104, 'z': -0.175014600157738}","{'x': 0.621448993682861, 'y': 0.328074336051941, 'z': -0.071788161993027}","{'x': 0.680642604827881, 'y': 0.327433586120605, 'z': -0.325027108192444}","{'x': 0.621464610099792, 'y': 0.146625071763992, 'z': -0.589158058166504}","{'x': 0.613795757293701, 'y': 0.10228830575943, 'z': -0.65550023317337}","{'x': 0.610227108001709, 'y': 0.09063708782196, 'z': -0.630250573158264}","{'x': 0.571191966533661, 'y': 0.660476326942444, 'z': -0.063216902315617}","{'x': 0.573452472686768, 'y': 0.888250112533569, 'z': -0.027910742908716}","{'x': 0.586301326751709, 'y': 1.112159490585327, 'z': 0.218087494373322}","{'x': 0.559683442115784, 'y': 1.182239651679993, 'z': 0.079709619283676}","{'x': 0.49364697933197, 'y': 0.346888959407806, 'z': 0.093262724578381}","{'x': 0.47228068113327, 'y': 0.499928772449493, 'z': 0.183059826493263}","{'x': 0.438497990369797, 'y': 0.620459139347076, 'z': 0.16016186773777}","{'x': 0.424755215644836, 'y': 0.665045917034149, 'z': 0.147413283586502}","{'x': 0.432079583406448, 'y': 0.666348993778229, 'z': 0.106382630765438}","{'x': 0.490403771400452, 'y': 0.652780652046204, 'z': 0.063495390117168}","{'x': 0.466723680496216, 'y': 0.882455468177795, 'z': 0.091529913246632}","{'x': 0.475923001766205, 'y': 1.084244608879089, 'z': 0.354485005140305}","{'x': 0.451406717300415, 'y': 1.146342039108276, 'z': 0.24556502699852}"
"{'x': 0.487327426671982, 'y': 0.234469443559647, 'z': -0.185684219002724}","{'x': 0.498454034328461, 'y': 0.352017819881439, 'z': 0.116897337138653}","{'x': 0.548994541168213, 'y': 0.404075026512146, 'z': 0.065004602074623}","{'x': 0.591308534145355, 'y': 0.285445183515549, 'z': -0.154114872217178}","{'x': 0.598080039024353, 'y': 0.258152902126312, 'z': -0.190525516867638}","{'x': 0.593459248542786, 'y': 0.246215552091599, 'z': -0.204343408346176}","{'x': 0.510608732700348, 'y': 0.635440826416016, 'z': 0.095666199922562}","{'x': 0.51969587802887, 'y': 0.851012706756592, 'z': 0.221893131732941}","{'x': 0.515603005886078, 'y': 1.065474629402161, 'z': 0.345144689083099}","{'x': 0.564016103744507, 'y': 1.086293935775757, 'z': 0.243275567889214}","{'x': 0.404825389385223, 'y': 0.339583158493042, 'z': -0.221893131732941}","{'x': 0.383136808872223, 'y': 0.497359156608582, 'z': -0.309440076351166}","{'x': 0.441425800323486, 'y': 0.642242908477783, 'z': -0.391943961381912}","{'x': 0.443257480859756, 'y': 0.692439019680023, 'z': -0.444189727306366}","{'x': 0.457318097352982, 'y': 0.689979493618011, 'z': -0.447820693254471}","{'x': 0.447474956512451, 'y': 0.642161250114441, 'z': -0.09541404992342}","{'x': 0.461152017116547, 'y': 0.872122704982758, 'z': 0.003867370542139}","{'x': 0.437348037958145, 'y': 1.050140738487244, 'z': 0.178523123264313}","{'x': 0.487373054027557, 'y': 1.097771644592285, 'z': 0.066114068031311}"
"{'x': 0.510510742664337, 'y': 0.239332735538483, 'z': -0.263827443122864}","{'x': 0.563441693782806, 'y': 0.342152237892151, 'z': 0.007803079672158}","{'x': 0.645272135734558, 'y': 0.329132497310638, 'z': -0.057604964822531}","{'x': 0.66524875164032, 'y': 0.188178658485413, 'z': -0.262903124094009}","{'x': 0.670077800750732, 'y': 0.150833874940872, 'z': -0.314797103404999}","{'x': 0.661362409591675, 'y': 0.140514522790909, 'z': -0.311363905668259}","{'x': 0.535747289657593, 'y': 0.662522614002228, 'z': 0.039349637925625}","{'x': 0.524315774440765, 'y': 0.874734878540039, 'z': 0.111182533204556}","{'x': 0.485268950462341, 'y': 1.091335296630859, 'z': 0.329058051109314}","{'x': 0.49909633398056, 'y': 1.136849880218506, 'z': 0.233456909656525}","{'x': 0.422591120004654, 'y': 0.361025184392929, 'z': -0.164925158023834}","{'x': 0.378026098012924, 'y': 0.50939667224884, 'z': -0.169678807258606}","{'x': 0.398998558521271, 'y': 0.648287534713745, 'z': -0.216026872396469}","{'x': 0.399059653282166, 'y': 0.694956183433533, 'z': -0.24784991145134}","{'x': 0.418785095214844, 'y': 0.693077445030212, 'z': -0.271486103534698}","{'x': 0.458404719829559, 'y': 0.654563903808594, 'z': -0.038821455091238}","{'x': 0.45565739274025, 'y': 0.898207426071167, 'z': 0.011289913207293}","{'x': 0.441302806138992, 'y': 1.108747243881226, 'z': 0.153833314776421}","{'x': 0.458532065153122, 'y': 1.159648895263672, 'z': 0.019229164347053}"
"{'x': 0.53905189037323, 'y': 0.200174123048782, 'z': -0.259749591350555}","{'x': 0.618298888206482, 'y': 0.270465701818466, 'z': -0.098166942596436}","{'x': 0.667824268341064, 'y': 0.117303550243378, 'z': -0.207516565918922}","{'x': 0.672272741794586, 'y': -0.07684999704361, 'z': -0.278859227895737}","{'x': 0.668984115123749, 'y': -0.126412868499756, 'z': -0.327553451061249}","{'x': 0.655786037445068, 'y': -0.122582018375397, 'z': -0.313964366912842}","{'x': 0.617372989654541, 'y': 0.662408709526062, 'z': -0.05492252856493}","{'x': 0.627663791179657, 'y': 0.922090709209442, 'z': -0.109986610710621}","{'x': 0.62917822599411, 'y': 1.110519528388977, 'z': 0.273480236530304}","{'x': 0.632433354854584, 'y': 1.220369696617126, 'z': 0.165758460760117}","{'x': 0.473513811826706, 'y': 0.342792600393295, 'z': -0.000764164549764}","{'x': 0.437248468399048, 'y': 0.495875149965286, 'z': 0.019392749294639}","{'x': 0.422844260931015, 'y': 0.645525097846985, 'z': -0.057187374681234}","{'x': 0.417090475559235, 'y': 0.705664396286011, 'z': -0.077429443597794}","{'x': 0.427255213260651, 'y': 0.705572843551636, 'z': -0.120107643306255}","{'x': 0.518656492233276, 'y': 0.660441637039185, 'z': 0.054710201919079}","{'x': 0.499333173036575, 'y': 0.923185765743256, 'z': 0.031194722279906}","{'x': 0.534948468208313, 'y': 1.135216474533081, 'z': 0.356713324785233}","{'x': 0.516126453876495, 'y': 1.230234861373901, 'z': 0.250548660755157}"
"{'x': 0.507248222827911, 'y': 0.223448395729065, 'z': -0.27369436621666}","{'x': 0.579517602920532, 'y': 0.325913280248642, 'z': -0.019259972497821}","{'x': 0.682964205741882, 'y': 0.314888745546341, 'z': -0.10144068300724}","{'x': 0.691367983818054, 'y': 0.147109508514404, 'z': -0.286292970180511}","{'x': 0.696329295635223, 'y': 0.106880068778992, 'z': -0.33538419008255}","{'x': 0.689174771308899, 'y': 0.098780989646912, 'z': -0.326405853033066}","{'x': 0.558539807796478, 'y': 0.671647787094116, 'z': 0.016454244032502}","{'x': 0.564804494380951, 'y': 0.87733793258667, 'z': 0.101875118911266}","{'x': 0.529426038265228, 'y': 1.09978973865509, 'z': 0.384040951728821}","{'x': 0.54059374332428, 'y': 1.159300804138184, 'z': 0.284265607595444}","{'x': 0.425276219844818, 'y': 0.353440493345261, 'z': -0.110491424798965}","{'x': 0.385216951370239, 'y': 0.499414682388306, 'z': -0.097096331417561}","{'x': 0.398505538702011, 'y': 0.640763223171234, 'z': -0.161320373415947}","{'x': 0.394933342933655, 'y': 0.694259703159332, 'z': -0.188689813017845}","{'x': 0.410791635513306, 'y': 0.6927530169487, 'z': -0.217362552881241}","{'x': 0.466617345809937, 'y': 0.678503751754761, 'z': -0.01556727103889}","{'x': 0.473710387945175, 'y': 0.899062097072601, 'z': 0.045869145542383}","{'x': 0.47736993432045, 'y': 1.117547392845154, 'z': 0.266598582267761}","{'x': 0.489050477743149, 'y': 1.182435154914856, 'z': 0.139526188373566}"
"{'x': 0.542385220527649, 'y': 0.266789495944977, 'z': -0.23040334880352}","{'x': 0.592878222465515, 'y': 0.36469891667366, 'z': 0.016412822529674}","{'x': 0.681847214698792, 'y': 0.405156940221786, 'z': -0.11555814743042}","{'x': 0.696270942687988, 'y': 0.27818700671196, 'z': -0.413989305496216}","{'x': 0.700565934181213, 'y': 0.246747225522995, 'z': -0.468411535024643}","{'x': 0.692809343338013, 'y': 0.237020313739777, 'z': -0.461281985044479}","{'x': 0.565467178821564, 'y': 0.668253898620605, 'z': 0.03793515637517}","{'x': 0.558012008666992, 'y': 0.881795048713684, 'z': 0.143422812223434}","{'x': 0.530702948570251, 'y': 1.108224987983704, 'z': 0.32867231965065}","{'x': 0.545412242412567, 'y': 1.146119832992554, 'z': 0.232898682355881}","{'x': 0.462713211774826, 'y': 0.377001315355301, 'z': -0.124054200947285}","{'x': 0.423079043626785, 'y': 0.509929060935974, 'z': -0.087218180298805}","{'x': 0.414005219936371, 'y': 0.644284307956696, 'z': -0.105814427137375}","{'x': 0.409396588802338, 'y': 0.689785957336426, 'z': -0.127975448966026}","{'x': 0.424682676792145, 'y': 0.689733982086182, 'z': -0.157919570803642}","{'x': 0.488738656044006, 'y': 0.669422090053558, 'z': -0.03745985403657}","{'x': 0.491370290517807, 'y': 0.895641803741455, 'z': 0.03870752453804}","{'x': 0.480304390192032, 'y': 1.10904598236084, 'z': 0.182160049676895}","{'x': 0.504563212394714, 'y': 1.155938625335693, 'z': 0.060898255556822}"
"{'x': 0.502617657184601, 'y': 0.151096075773239, 'z': -0.350658476352692}","{'x': 0.609441637992859, 'y': 0.269900858402252, 'z': -0.176185190677643}","{'x': 0.740481495857239, 'y': 0.293310523033142, 'z': -0.312425583600998}","{'x': 0.685565829277039, 'y': 0.086195588111877, 'z': -0.513005673885345}","{'x': 0.680558860301971, 'y': 0.03743976354599, 'z': -0.566075205802917}","{'x': 0.665468692779541, 'y': 0.030147731304169, 'z': -0.533834040164948}","{'x': 0.573324799537659, 'y': 0.655024886131287, 'z': -0.032312508672476}","{'x': 0.562555313110352, 'y': 0.910138249397278, 'z': 0.054068170487881}","{'x': 0.538342714309692, 'y': 1.136981964111328, 'z': 0.367492377758026}","{'x': 0.526176929473877, 'y': 1.216157197952271, 'z': 0.266061037778854}","{'x': 0.432041585445404, 'y': 0.314228445291519, 'z': -0.095439590513706}","{'x': 0.403997004032135, 'y': 0.49887079000473, 'z': -0.043154675513506}","{'x': 0.385914266109467, 'y': 0.650836586952209, 'z': -0.125112891197205}","{'x': 0.378413736820221, 'y': 0.704169392585754, 'z': -0.141019493341446}","{'x': 0.391408681869507, 'y': 0.702988088130951, 'z': -0.179894357919693}","{'x': 0.467513024806976, 'y': 0.654506266117096, 'z': 0.033186301589012}","{'x': 0.465484201908112, 'y': 0.895520806312561, 'z': 0.102215945720673}","{'x': 0.47605562210083, 'y': 1.138787269592285, 'z': 0.350087821483612}","{'x': 0.470518887042999, 'y': 1.206422328948975, 'z': 0.236387744545937}"
"{'x': 0.542379438877106, 'y': 0.183736175298691, 'z': -0.370008617639542}","{'x': 0.625649809837341, 'y': 0.302699714899063, 'z': -0.076417773962021}","{'x': 0.750727653503418, 'y': 0.366791725158691, 'z': -0.194098427891731}","{'x': 0.759563326835632, 'y': 0.191049009561539, 'z': -0.460406899452209}","{'x': 0.761899590492249, 'y': 0.146604686975479, 'z': -0.526644647121429}","{'x': 0.753378748893738, 'y': 0.133184939622879, 'z': -0.517686307430267}","{'x': 0.606423676013947, 'y': 0.655946910381317, 'z': 0.006477016955614}","{'x': 0.595229983329773, 'y': 0.93524968624115, 'z': 0.077028572559357}","{'x': 0.580082476139069, 'y': 1.182729244232178, 'z': 0.402584552764893}","{'x': 0.56704193353653, 'y': 1.236781120300293, 'z': 0.287211388349533}","{'x': 0.45194685459137, 'y': 0.31960517168045, 'z': -0.130643174052238}","{'x': 0.401961714029312, 'y': 0.481369972229004, 'z': -0.275809794664383}","{'x': 0.520867347717285, 'y': 0.507120609283447, 'z': -0.521758258342743}","{'x': 0.556458473205566, 'y': 0.527867555618286, 'z': -0.590710759162903}","{'x': 0.568819582462311, 'y': 0.497626602649689, 'z': -0.57225102186203}","{'x': 0.495694816112518, 'y': 0.665996015071869, 'z': -0.005539609584957}","{'x': 0.499666452407837, 'y': 0.915451943874359, 'z': 0.044011477380991}","{'x': 0.501935362815857, 'y': 1.158712863922119, 'z': 0.305671095848083}","{'x': 0.508505761623383, 'y': 1.215688467025757, 'z': 0.172245383262634}"
"{'x': 0.55745667219162, 'y': 0.309008002281189, 'z': -0.249405443668365}","{'x': 0.62389349937439, 'y': 0.388622522354126, 'z': -0.040285456925631}","{'x': 0.701051712036133, 'y': 0.438019245862961, 'z': -0.194457590579987}","{'x': 0.6994788646698, 'y': 0.314374208450317, 'z': -0.452307671308517}","{'x': 0.697365999221802, 'y': 0.277807384729385, 'z': -0.515931487083435}","{'x': 0.690044581890106, 'y': 0.268694251775742, 'z': -0.503900825977325}","{'x': 0.601617753505707, 'y': 0.665398240089417, 'z': -0.019376350566745}","{'x': 0.582257330417633, 'y': 0.883629143238068, 'z': 0.016701258718967}","{'x': 0.559069931507111, 'y': 1.091626405715942, 'z': 0.145293712615967}","{'x': 0.546436727046967, 'y': 1.137942790985107, 'z': -0.001937635126524}","{'x': 0.494478821754456, 'y': 0.397991061210632, 'z': -0.005288731772453}","{'x': 0.418241858482361, 'y': 0.471275508403778, 'z': -0.019072690978646}","{'x': 0.384740978479385, 'y': 0.568605422973633, 'z': -0.184162095189095}","{'x': 0.367079257965088, 'y': 0.598924994468689, 'z': -0.219560086727142}","{'x': 0.38118439912796, 'y': 0.602577090263367, 'z': -0.249636813998222}","{'x': 0.524914801120758, 'y': 0.66631418466568, 'z': 0.020142728462815}","{'x': 0.522803425788879, 'y': 0.874324083328247, 'z': 0.015790279954672}","{'x': 0.532416105270386, 'y': 1.067658662796021, 'z': 0.153275609016418}","{'x': 0.524880111217499, 'y': 1.117658972740173, 'z': 0.015732441097498}"
