nose,left_shoulder,left_elbow,left_wrist,left_pinky,left_index,left_hip,left_knee,left_heel,left_foot_index,right_shoulder,right_elbow,right_wrist,right_pinky,right_index,right_hip,right_knee,right_heel,right_foot_index
"{'x': 0.442384660243988, 'y': 0.238215863704681, 'z': -0.227942928671837}","{'x': 0.510241985321045, 'y': 0.342827409505844, 'z': 0.041117064654827}","{'x': 0.539289474487305, 'y': 0.481741309165955, 'z': 0.11667774617672}","{'x': 0.557403028011322, 'y': 0.588320791721344, 'z': 0.028554372489452}","{'x': 0.56666362285614, 'y': 0.637220978736877, 'z': 0.004570698365569}","{'x': 0.557600557804108, 'y': 0.630071759223938, 'z': -0.031491305679083}","{'x': 0.51931893825531, 'y': 0.615789532661438, 'z': 0.012508875690401}","{'x': 0.582904577255249, 'y': 0.683669805526733, 'z': -0.525511145591736}","{'x': 0.562706351280212, 'y': 1.000686883926392, 'z': -0.459330230951309}","{'x': 0.607268929481506, 'y': 1.085999011993408, 'z': -0.633762538433075}","{'x': 0.357391357421875, 'y': 0.354298442602158, 'z': 0.015184406191111}","{'x': 0.305448591709137, 'y': 0.494890362024307, 'z': 0.018559573218226}","{'x': 0.285754024982452, 'y': 0.628940284252167, 'z': -0.092259682714939}","{'x': 0.277958035469055, 'y': 0.680282831192017, 'z': -0.109481491148472}","{'x': 0.295705050230026, 'y': 0.680645823478699, 'z': -0.147861525416374}","{'x': 0.430215150117874, 'y': 0.653750061988831, 'z': -0.012431992217898}","{'x': 0.465016096830368, 'y': 0.859357237815857, 'z': -0.126457273960114}","{'x': 0.491435348987579, 'y': 1.084582448005676, 'z': 0.049297425895929}","{'x': 0.491164237260818, 'y': 1.175803661346436, 'z': -0.107205756008625}"
"{'x': 0.449551522731781, 'y': 0.246458530426025, 'z': -0.241463720798492}","{'x': 0.499321103096008, 'y': 0.34293121099472, 'z': 0.027615711092949}","{'x': 0.523573875427246, 'y': 0.479151904582977, 'z': 0.091172978281975}","{'x': 0.542411327362061, 'y': 0.567355573177338, 'z': 0.015148217789829}","{'x': 0.551075756549835, 'y': 0.605030059814453, 'z': -0.002514065243304}","{'x': 0.544304072856903, 'y': 0.600566267967224, 'z': -0.030693579465151}","{'x': 0.507823050022125, 'y': 0.609792351722717, 'z': 0.048508338630199}","{'x': 0.6092209815979, 'y': 0.62081503868103, 'z': -0.368096023797989}","{'x': 0.567342281341553, 'y': 0.923762798309326, 'z': -0.260072767734528}","{'x': 0.629163801670074, 'y': 0.97240275144577, 'z': -0.401229202747345}","{'x': 0.353124141693115, 'y': 0.353265881538391, 'z': -0.066152893006802}","{'x': 0.295709133148193, 'y': 0.498463213443756, 'z': -0.069500252604485}","{'x': 0.309001326560974, 'y': 0.640314400196075, 'z': -0.134575173258781}","{'x': 0.309093654155731, 'y': 0.693720817565918, 'z': -0.149439722299576}","{'x': 0.323381245136261, 'y': 0.688687086105347, 'z': -0.172927975654602}","{'x': 0.427377700805664, 'y': 0.648551881313324, 'z': -0.048479970544577}","{'x': 0.467290669679642, 'y': 0.85403960943222, 'z': -0.108647331595421}","{'x': 0.490091770887375, 'y': 1.053585290908813, 'z': 0.093442380428314}","{'x': 0.500458359718323, 'y': 1.133025169372559, 'z': -0.06053613498807}"
"{'x': 0.436592936515808, 'y': 0.235646098852158, 'z': -0.324582576751709}","{'x': 0.48441082239151, 'y': 0.335074901580811, 'z': -0.009029211476445}","{'x': 0.498244911432266, 'y': 0.487930864095688, 'z': 0.032921444624662}","{'x': 0.528248071670532, 'y': 0.609268724918365, 'z': -0.076572403311729}","{'x': 0.543479084968567, 'y': 0.651512444019318, 'z': -0.097034707665443}","{'x': 0.540342807769775, 'y': 0.648245215415955, 'z': -0.133444711565971}","{'x': 0.509157359600067, 'y': 0.611321866512299, 'z': 0.069771185517311}","{'x': 0.67284768819809, 'y': 0.559682071208954, 'z': -0.201691478490829}","{'x': 0.710432291030884, 'y': 0.820369899272919, 'z': -0.034914907068014}","{'x': 0.80037248134613, 'y': 0.84870046377182, 'z': -0.153496593236923}","{'x': 0.331583619117737, 'y': 0.351103991270065, 'z': -0.144467383623123}","{'x': 0.279335618019104, 'y': 0.514736413955688, 'z': -0.141418561339378}","{'x': 0.290356695652008, 'y': 0.667338192462921, 'z': -0.233000561594963}","{'x': 0.289086490869522, 'y': 0.718168079853058, 'z': -0.25680485367775}","{'x': 0.304052710533142, 'y': 0.718405961990356, 'z': -0.287058591842651}","{'x': 0.429430365562439, 'y': 0.663026452064514, 'z': -0.069829814136028}","{'x': 0.464105635881424, 'y': 0.862128913402557, 'z': -0.177418142557144}","{'x': 0.461857080459595, 'y': 1.071282982826233, 'z': 0.051155760884285}","{'x': 0.491846472024918, 'y': 1.124973177909851, 'z': -0.10547760874033}"
"{'x': 0.464005827903748, 'y': 0.243930518627167, 'z': -0.290523290634155}","{'x': 0.520994246006012, 'y': 0.345465749502182, 'z': -0.042357910424471}","{'x': 0.533131301403046, 'y': 0.492849409580231, 'z': 0.002773884218186}","{'x': 0.526085376739502, 'y': 0.60815966129303, 'z': -0.090154066681862}","{'x': 0.5301913022995, 'y': 0.653110206127167, 'z': -0.124233759939671}","{'x': 0.520788371562958, 'y': 0.645173609256744, 'z': -0.15239180624485}","{'x': 0.507510900497437, 'y': 0.614071309566498, 'z': 0.007757056970149}","{'x': 0.518872857093811, 'y': 0.700085043907166, 'z': -0.461646854877472}","{'x': 0.463141411542892, 'y': 0.969398379325867, 'z': -0.399046570062637}","{'x': 0.474339693784714, 'y': 1.04209041595459, 'z': -0.562677383422852}","{'x': 0.371521234512329, 'y': 0.34912434220314, 'z': -0.083023920655251}","{'x': 0.320913255214691, 'y': 0.49974113702774, 'z': -0.081332020461559}","{'x': 0.330673933029175, 'y': 0.62919682264328, 'z': -0.158071741461754}","{'x': 0.327123403549194, 'y': 0.67884373664856, 'z': -0.181033238768578}","{'x': 0.348074972629547, 'y': 0.674941897392273, 'z': -0.205444931983948}","{'x': 0.421719878911972, 'y': 0.640033662319183, 'z': -0.007549345958978}","{'x': 0.454551964998245, 'y': 0.790859460830688, 'z': -0.071361899375916}","{'x': 0.446355521678925, 'y': 0.942300796508789, 'z': 0.19468928873539}","{'x': 0.43993678689003, 'y': 1.02180016040802, 'z': 0.09003321826458}"
"{'x': 0.443738490343094, 'y': 0.239336520433426, 'z': -0.324583411216736}","{'x': 0.507820725440979, 'y': 0.342956691980362, 'z': -0.023560401052237}","{'x': 0.573999345302582, 'y': 0.457775712013245, 'z': 0.045835148543119}","{'x': 0.63007789850235, 'y': 0.585486590862274, 'z': -0.109609685838223}","{'x': 0.648360848426819, 'y': 0.624016404151917, 'z': -0.146744221448898}","{'x': 0.640145599842072, 'y': 0.629152715206146, 'z': -0.198888063430786}","{'x': 0.514834761619568, 'y': 0.62364935874939, 'z': -0.012004443444312}","{'x': 0.545961737632751, 'y': 0.76557868719101, 'z': -0.564492881298065}","{'x': 0.538618743419647, 'y': 1.029171943664551, 'z': -0.381989449262619}","{'x': 0.543207049369812, 'y': 1.100991010665894, 'z': -0.540095329284668}","{'x': 0.354780435562134, 'y': 0.3594990670681, 'z': -0.049781814217567}","{'x': 0.294051736593246, 'y': 0.504752695560455, 'z': -0.03737373277545}","{'x': 0.23325090110302, 'y': 0.622698366641998, 'z': -0.18896159529686}","{'x': 0.213914006948471, 'y': 0.670043349266052, 'z': -0.21072806417942}","{'x': 0.226311579346657, 'y': 0.675685822963715, 'z': -0.266220569610596}","{'x': 0.426056236028671, 'y': 0.657180607318878, 'z': 0.012766867876053}","{'x': 0.459601938724518, 'y': 0.872288167476654, 'z': -0.063924036920071}","{'x': 0.471437931060791, 'y': 1.054258346557617, 'z': 0.252108246088028}","{'x': 0.468750327825546, 'y': 1.135319232940674, 'z': 0.140405640006065}"
"{'x': 0.419756323099136, 'y': 0.234897613525391, 'z': -0.31996363401413}","{'x': 0.492972552776337, 'y': 0.337275415658951, 'z': -0.036400720477104}","{'x': 0.552775382995605, 'y': 0.43464931845665, 'z': -0.04171185567975}","{'x': 0.559680581092834, 'y': 0.543613731861115, 'z': -0.199361950159073}","{'x': 0.562788188457489, 'y': 0.575099170207977, 'z': -0.243146449327469}","{'x': 0.547177910804749, 'y': 0.567153930664062, 'z': -0.259727567434311}","{'x': 0.512280821800232, 'y': 0.635225355625153, 'z': 0.036789339035749}","{'x': 0.674771845340729, 'y': 0.68555623292923, 'z': -0.21296364068985}","{'x': 0.729857206344604, 'y': 0.955309271812439, 'z': -0.045662824064493}","{'x': 0.812753081321716, 'y': 0.987007260322571, 'z': -0.166329264640808}","{'x': 0.330574125051498, 'y': 0.366146385669708, 'z': -0.089253008365631}","{'x': 0.283229470252991, 'y': 0.518643617630005, 'z': -0.09106656908989}","{'x': 0.273307234048843, 'y': 0.661541938781738, 'z': -0.180319577455521}","{'x': 0.266687870025635, 'y': 0.721786499023438, 'z': -0.207782045006752}","{'x': 0.279111206531525, 'y': 0.722718834877014, 'z': -0.243146449327469}","{'x': 0.428118616342545, 'y': 0.683164894580841, 'z': -0.036886494606733}","{'x': 0.467576414346695, 'y': 0.90202808380127, 'z': -0.097349256277084}","{'x': 0.46475213766098, 'y': 1.088978409767151, 'z': 0.167754203081131}","{'x': 0.46450412273407, 'y': 1.178827404975891, 'z': 0.052625596523285}"
"{'x': 0.428202509880066, 'y': 0.225822657346725, 'z': -0.354639023542404}","{'x': 0.482871979475021, 'y': 0.321988075971603, 'z': -0.019200379028916}","{'x': 0.529106914997101, 'y': 0.42559278011322, 'z': -0.015681693330407}","{'x': 0.560895919799805, 'y': 0.501502156257629, 'z': -0.206466406583786}","{'x': 0.572373747825623, 'y': 0.531532049179077, 'z': -0.245587527751923}","{'x': 0.563140511512756, 'y': 0.525296032428741, 'z': -0.271963804960251}","{'x': 0.506754517555237, 'y': 0.597766578197479, 'z': 0.074585020542145}","{'x': 0.667514324188232, 'y': 0.585082769393921, 'z': -0.132546335458755}","{'x': 0.630770802497864, 'y': 0.809497237205505, 'z': 0.133654579520226}","{'x': 0.708397388458252, 'y': 0.85297304391861, 'z': 0.065275743603706}","{'x': 0.331586360931396, 'y': 0.353536814451218, 'z': -0.170780852437019}","{'x': 0.288007348775864, 'y': 0.511643528938293, 'z': -0.183858171105385}","{'x': 0.308008432388306, 'y': 0.679488301277161, 'z': -0.301221519708633}","{'x': 0.311241209506989, 'y': 0.724584877490997, 'z': -0.336463779211044}","{'x': 0.327267169952393, 'y': 0.723392009735107, 'z': -0.366608083248138}","{'x': 0.432429790496826, 'y': 0.648032903671265, 'z': -0.074751257896423}","{'x': 0.463221579790115, 'y': 0.865725636482239, 'z': -0.149059221148491}","{'x': 0.451322972774506, 'y': 1.058262825012207, 'z': 0.117474175989628}","{'x': 0.480183482170105, 'y': 1.130002975463867, 'z': -0.005413093604147}"
"{'x': 0.464143693447113, 'y': 0.226103216409683, 'z': -0.380981773138046}","{'x': 0.517224371433258, 'y': 0.336112052202225, 'z': -0.06999097019434}","{'x': 0.552357196807861, 'y': 0.482330739498138, 'z': 0.020053254440427}","{'x': 0.581688165664673, 'y': 0.61153370141983, 'z': -0.087067805230618}","{'x': 0.588468313217163, 'y': 0.654200673103333, 'z': -0.117192782461643}","{'x': 0.583286464214325, 'y': 0.655583024024963, 'z': -0.164033815264702}","{'x': 0.528009831905365, 'y': 0.61752712726593, 'z': 0.020068287849426}","{'x': 0.584483504295349, 'y': 0.772405505180359, 'z': -0.29271137714386}","{'x': 0.540807068347931, 'y': 1.031231999397278, 'z': -0.068126946687698}","{'x': 0.5820072889328, 'y': 1.103743195533752, 'z': -0.188326224684715}","{'x': 0.360503822565079, 'y': 0.34442350268364, 'z': -0.13829830288887}","{'x': 0.296780824661255, 'y': 0.491937309503555, 'z': -0.121882900595665}","{'x': 0.276769071817398, 'y': 0.638096809387207, 'z': -0.23618945479393}","{'x': 0.271503150463104, 'y': 0.694888472557068, 'z': -0.261924982070923}","{'x': 0.285433351993561, 'y': 0.697359323501587, 'z': -0.304977834224701}","{'x': 0.442372590303421, 'y': 0.648835718631744, 'z': -0.020053254440427}","{'x': 0.476123839616776, 'y': 0.871184766292572, 'z': -0.132766380906105}","{'x': 0.483602494001389, 'y': 1.067848443984985, 'z': 0.125911593437195}","{'x': 0.49096006155014, 'y': 1.153241634368896, 'z': 0.003288342850283}"
"{'x': 0.458747982978821, 'y': 0.249684751033783, 'z': -0.249456495046616}","{'x': 0.490356117486954, 'y': 0.336445957422256, 'z': 0.037762030959129}","{'x': 0.510311841964722, 'y': 0.4617520570755, 'z': 0.12030278891325}","{'x': 0.531462669372559, 'y': 0.560719192028046, 'z': 0.049058612436056}","{'x': 0.541501402854919, 'y': 0.598339676856995, 'z': 0.032492231577635}","{'x': 0.535754024982452, 'y': 0.595795273780823, 'z': 0.000943504855968}","{'x': 0.510306596755981, 'y': 0.608943343162537, 'z': 0.060850150883198}","{'x': 0.625041544437408, 'y': 0.671547472476959, 'z': -0.289518624544144}","{'x': 0.554293274879456, 'y': 0.934673726558685, 'z': -0.111510083079338}","{'x': 0.621454834938049, 'y': 1.010203242301941, 'z': -0.213819861412048}","{'x': 0.347458600997925, 'y': 0.348157107830048, 'z': -0.107550457119942}","{'x': 0.294238209724426, 'y': 0.500245690345764, 'z': -0.112208843231201}","{'x': 0.315139055252075, 'y': 0.645980358123779, 'z': -0.169215828180313}","{'x': 0.315903693437576, 'y': 0.697610139846802, 'z': -0.187383532524109}","{'x': 0.335106730461121, 'y': 0.693373501300812, 'z': -0.208462715148926}","{'x': 0.430191874504089, 'y': 0.647628962993622, 'z': -0.060850150883198}","{'x': 0.471097648143768, 'y': 0.857916593551636, 'z': -0.12286489456892}","{'x': 0.490629345178604, 'y': 1.059918165206909, 'z': 0.128687873482704}","{'x': 0.508732736110687, 'y': 1.15839958190918, 'z': 0.004774844273925}"
"{'x': 0.44975420832634, 'y': 0.237999618053436, 'z': -0.364563822746277}","{'x': 0.487786799669266, 'y': 0.335878103971481, 'z': -0.018906576558948}","{'x': 0.515387535095215, 'y': 0.48032021522522, 'z': 0.051411285996437}","{'x': 0.550146400928497, 'y': 0.568325877189636, 'z': -0.069846339523792}","{'x': 0.564829587936401, 'y': 0.600709617137909, 'z': -0.094852298498154}","{'x': 0.562488317489624, 'y': 0.597589612007141, 'z': -0.134947016835213}","{'x': 0.515846788883209, 'y': 0.604745447635651, 'z': 0.059959553182125}","{'x': 0.653641641139984, 'y': 0.669938802719116, 'z': -0.172547221183777}","{'x': 0.686878979206085, 'y': 0.910362482070923, 'z': 0.042589228600264}","{'x': 0.757567048072815, 'y': 0.958999514579773, 'z': -0.09588661044836}","{'x': 0.339539051055908, 'y': 0.346399426460266, 'z': -0.155998259782791}","{'x': 0.281004071235657, 'y': 0.503626644611359, 'z': -0.149305671453476}","{'x': 0.278328090906143, 'y': 0.660932779312134, 'z': -0.236796125769615}","{'x': 0.271964013576508, 'y': 0.712523758411407, 'z': -0.259672611951828}","{'x': 0.289301455020905, 'y': 0.71378219127655, 'z': -0.294474095106125}","{'x': 0.438378840684891, 'y': 0.649201393127441, 'z': -0.059989973902702}","{'x': 0.473426103591919, 'y': 0.868331253528595, 'z': -0.136772274971008}","{'x': 0.476897060871124, 'y': 1.076560854911804, 'z': 0.095460720360279}","{'x': 0.484806001186371, 'y': 1.143225789070129, 'z': -0.07751239836216}"
