nose,left_shoulder,left_elbow,left_wrist,left_pinky,left_index,left_hip,left_knee,left_heel,left_foot_index,right_shoulder,right_elbow,right_wrist,right_pinky,right_index,right_hip,right_knee,right_heel,right_foot_index
"{'x': 0.461508214473724, 'y': 0.125539392232895, 'z': -0.249443992972374}","{'x': 0.53274941444397, 'y': 0.259206116199493, 'z': -0.048292148858309}","{'x': 0.564747214317322, 'y': 0.413056522607803, 'z': -0.006670434493572}","{'x': 0.548314869403839, 'y': 0.556020617485046, 'z': -0.081010401248932}","{'x': 0.547339856624603, 'y': 0.608759880065918, 'z': -0.114252150058746}","{'x': 0.534282982349396, 'y': 0.605600655078888, 'z': -0.14919525384903}","{'x': 0.497804313898087, 'y': 0.595197200775146, 'z': -0.017275240272284}","{'x': 0.510032415390015, 'y': 0.822152495384216, 'z': 0.016383666545153}","{'x': 0.506650269031525, 'y': 1.021773338317871, 'z': 0.174977242946625}","{'x': 0.520842015743256, 'y': 1.117560863494873, 'z': 0.025880141183734}","{'x': 0.378077119588852, 'y': 0.272309750318527, 'z': -0.033029079437256}","{'x': 0.347384214401245, 'y': 0.433024227619171, 'z': -0.007885100319982}","{'x': 0.357016623020172, 'y': 0.567460656166077, 'z': -0.093835957348347}","{'x': 0.352904260158539, 'y': 0.618102252483368, 'z': -0.133228749036789}","{'x': 0.365179717540741, 'y': 0.615684270858765, 'z': -0.161235570907593}","{'x': 0.409817546606064, 'y': 0.594243288040161, 'z': 0.017177084460855}","{'x': 0.399853855371475, 'y': 0.827395379543304, 'z': 0.027237948030233}","{'x': 0.402675986289978, 'y': 1.050747632980347, 'z': 0.183876603841782}","{'x': 0.372931480407715, 'y': 1.119776487350464, 'z': 0.034157861024141}"
"{'x': 0.463720262050629, 'y': 0.133585959672928, 'z': -0.234924048185349}","{'x': 0.535888850688934, 'y': 0.264878779649734, 'z': -0.06333801150322}","{'x': 0.564766824245453, 'y': 0.422658205032349, 'z': -0.006069478578866}","{'x': 0.549798667430878, 'y': 0.564415156841278, 'z': -0.052334237843752}","{'x': 0.548761904239655, 'y': 0.616063237190247, 'z': -0.074706375598907}","{'x': 0.536441445350647, 'y': 0.61297994852066, 'z': -0.1067233979702}","{'x': 0.49799832701683, 'y': 0.609365403652191, 'z': -0.020797803997993}","{'x': 0.509279847145081, 'y': 0.839737117290497, 'z': 0.017400553449988}","{'x': 0.500131130218506, 'y': 1.057991743087769, 'z': 0.187992259860039}","{'x': 0.51648998260498, 'y': 1.134702801704407, 'z': 0.056311506778002}","{'x': 0.375925749540329, 'y': 0.275313585996628, 'z': -0.040170419961214}","{'x': 0.344341188669205, 'y': 0.433387339115143, 'z': 0.004884583875537}","{'x': 0.35588201880455, 'y': 0.57410591840744, 'z': -0.057736694812775}","{'x': 0.352422654628754, 'y': 0.623346149921417, 'z': -0.08610787987709}","{'x': 0.365936577320099, 'y': 0.618537664413452, 'z': -0.110435515642166}","{'x': 0.408759653568268, 'y': 0.606784105300903, 'z': 0.020582368597388}","{'x': 0.39409601688385, 'y': 0.845421493053436, 'z': 0.033757071942091}","{'x': 0.39300748705864, 'y': 1.059004902839661, 'z': 0.201780125498772}","{'x': 0.366399973630905, 'y': 1.135275363922119, 'z': 0.064398616552353}"
"{'x': 0.485282570123672, 'y': 0.14083606004715, 'z': -0.224742919206619}","{'x': 0.545054078102112, 'y': 0.272231906652451, 'z': -0.038712330162525}","{'x': 0.569760620594025, 'y': 0.424409329891205, 'z': 0.013724380172789}","{'x': 0.550489962100983, 'y': 0.569777607917786, 'z': -0.048687692731619}","{'x': 0.547640800476074, 'y': 0.622264385223389, 'z': -0.075442805886269}","{'x': 0.534564912319183, 'y': 0.617648541927338, 'z': -0.107020437717438}","{'x': 0.500853180885315, 'y': 0.605226457118988, 'z': -0.017291728407145}","{'x': 0.511764824390411, 'y': 0.836814105510712, 'z': 0.017390821129084}","{'x': 0.514257192611694, 'y': 1.04168701171875, 'z': 0.152206838130951}","{'x': 0.519063591957092, 'y': 1.144083976745605, 'z': 0.008596317842603}","{'x': 0.385881930589676, 'y': 0.269982725381851, 'z': -0.034352239221334}","{'x': 0.345717251300812, 'y': 0.423673093318939, 'z': -0.010090970434248}","{'x': 0.353334069252014, 'y': 0.560382843017578, 'z': -0.0868054702878}","{'x': 0.349110752344131, 'y': 0.612237215042114, 'z': -0.121421955525875}","{'x': 0.362133920192719, 'y': 0.608811795711517, 'z': -0.144411534070969}","{'x': 0.411357283592224, 'y': 0.605663955211639, 'z': 0.017225665971637}","{'x': 0.394214481115341, 'y': 0.838650703430176, 'z': 0.028142411261797}","{'x': 0.400194853544235, 'y': 1.035543322563171, 'z': 0.186030596494675}","{'x': 0.371235340833664, 'y': 1.133908987045288, 'z': 0.044757004827261}"
"{'x': 0.473656535148621, 'y': 0.139348953962326, 'z': -0.229980662465096}","{'x': 0.543908894062042, 'y': 0.270065397024155, 'z': -0.051394708454609}","{'x': 0.569841027259827, 'y': 0.420288383960724, 'z': 0.001661431510001}","{'x': 0.555729448795319, 'y': 0.56681889295578, 'z': -0.052149064838886}","{'x': 0.552465915679932, 'y': 0.61949211359024, 'z': -0.077403642237186}","{'x': 0.539384484291077, 'y': 0.615298748016357, 'z': -0.111382529139519}","{'x': 0.503631174564362, 'y': 0.598608255386353, 'z': -0.019498502835631}","{'x': 0.515495300292969, 'y': 0.829559326171875, 'z': 0.01370962895453}","{'x': 0.511354506015778, 'y': 1.038172483444214, 'z': 0.158611878752708}","{'x': 0.522529602050781, 'y': 1.124664425849915, 'z': 0.01972809061408}","{'x': 0.389248907566071, 'y': 0.273209989070892, 'z': -0.038406640291214}","{'x': 0.353765428066254, 'y': 0.42815825343132, 'z': -0.008322531357408}","{'x': 0.364352583885193, 'y': 0.570529460906982, 'z': -0.077403642237186}","{'x': 0.36079278588295, 'y': 0.619985938072205, 'z': -0.110201798379421}","{'x': 0.373821973800659, 'y': 0.616814196109772, 'z': -0.133488491177559}","{'x': 0.414604872465134, 'y': 0.600635647773743, 'z': 0.019334511831403}","{'x': 0.397327482700348, 'y': 0.835177302360535, 'z': 0.026468111202121}","{'x': 0.400732964277267, 'y': 1.049728035926819, 'z': 0.173567831516266}","{'x': 0.369551569223404, 'y': 1.124048471450806, 'z': 0.032125793397427}"
"{'x': 0.481744319200516, 'y': 0.132738023996353, 'z': -0.274031490087509}","{'x': 0.557727038860321, 'y': 0.264430344104767, 'z': -0.080196417868137}","{'x': 0.582945585250854, 'y': 0.41464775800705, 'z': -0.024789460003376}","{'x': 0.574783265590668, 'y': 0.569105684757233, 'z': -0.081300340592861}","{'x': 0.575027465820312, 'y': 0.621631741523743, 'z': -0.104093007743359}","{'x': 0.562210381031036, 'y': 0.61850905418396, 'z': -0.141950905323029}","{'x': 0.516856908798218, 'y': 0.603867292404175, 'z': -0.011144705116749}","{'x': 0.519841611385345, 'y': 0.834279417991638, 'z': 0.039026759564877}","{'x': 0.50117290019989, 'y': 1.032358169555664, 'z': 0.251173883676529}","{'x': 0.517022728919983, 'y': 1.115996718406677, 'z': 0.121106334030628}","{'x': 0.393848240375519, 'y': 0.271298408508301, 'z': -0.087339423596859}","{'x': 0.362310886383057, 'y': 0.429250776767731, 'z': -0.067403957247734}","{'x': 0.366910547018051, 'y': 0.566977381706238, 'z': -0.144288614392281}","{'x': 0.362708449363708, 'y': 0.621742963790894, 'z': -0.178315281867981}","{'x': 0.374920040369034, 'y': 0.619505703449249, 'z': -0.20065338909626}","{'x': 0.425275683403015, 'y': 0.602784991264343, 'z': 0.011014832183719}","{'x': 0.395555913448334, 'y': 0.84047931432724, 'z': 0.037955310195684}","{'x': 0.399388134479523, 'y': 1.053185224533081, 'z': 0.22857603430748}","{'x': 0.371626198291779, 'y': 1.124912023544312, 'z': 0.083897791802883}"
"{'x': 0.512128829956055, 'y': 0.124438613653183, 'z': -0.376239448785782}","{'x': 0.603637218475342, 'y': 0.255002617835999, 'z': -0.17997433245182}","{'x': 0.629220902919769, 'y': 0.426173567771912, 'z': -0.111191034317017}","{'x': 0.613099932670593, 'y': 0.583760321140289, 'z': -0.147392764687538}","{'x': 0.614497900009155, 'y': 0.635885715484619, 'z': -0.166915848851204}","{'x': 0.600250542163849, 'y': 0.632659196853638, 'z': -0.20634987950325}","{'x': 0.550287365913391, 'y': 0.608731746673584, 'z': -0.015167556703091}","{'x': 0.537447869777679, 'y': 0.854350209236145, 'z': 0.056629855185747}","{'x': 0.512971103191376, 'y': 1.046147108078003, 'z': 0.335383206605911}","{'x': 0.525501847267151, 'y': 1.125712394714355, 'z': 0.215658903121948}","{'x': 0.429306209087372, 'y': 0.258518099784851, 'z': -0.17001885175705}","{'x': 0.391879320144653, 'y': 0.421338051557541, 'z': -0.125801026821136}","{'x': 0.37671959400177, 'y': 0.57473623752594, 'z': -0.187861129641533}","{'x': 0.370374143123627, 'y': 0.626749932765961, 'z': -0.217727571725845}","{'x': 0.385789632797241, 'y': 0.625263571739197, 'z': -0.246559664607048}","{'x': 0.452003449201584, 'y': 0.596787333488464, 'z': 0.014981699176133}","{'x': 0.42495584487915, 'y': 0.842122495174408, 'z': 0.060993455350399}","{'x': 0.430073320865631, 'y': 1.030437111854553, 'z': 0.325039833784103}","{'x': 0.408902257680893, 'y': 1.122633099555969, 'z': 0.197040855884552}"
"{'x': 0.417742103338242, 'y': 0.019741058349609, 'z': -0.304783284664154}","{'x': 0.539629697799683, 'y': 0.185833215713501, 'z': -0.147029131650925}","{'x': 0.585563838481903, 'y': 0.368716061115265, 'z': -0.061148747801781}","{'x': 0.592492043972015, 'y': 0.558981776237488, 'z': -0.071153454482555}","{'x': 0.602649569511414, 'y': 0.623364865779877, 'z': -0.075115315616131}","{'x': 0.584232330322266, 'y': 0.622717916965485, 'z': -0.116774901747704}","{'x': 0.50847452878952, 'y': 0.607165038585663, 'z': -0.025051778182387}","{'x': 0.534788966178894, 'y': 0.863848686218262, 'z': 0.00620791874826}","{'x': 0.511942505836487, 'y': 1.084166049957275, 'z': 0.324472546577454}","{'x': 0.543634235858917, 'y': 1.18734884262085, 'z': 0.220423623919487}","{'x': 0.323214322328568, 'y': 0.212567180395126, 'z': -0.113733470439911}","{'x': 0.292627215385437, 'y': 0.410281628370285, 'z': -0.057066828012466}","{'x': 0.278729766607285, 'y': 0.580793797969818, 'z': -0.105889782309532}","{'x': 0.268977284431458, 'y': 0.644624888896942, 'z': -0.122297495603561}","{'x': 0.284735202789307, 'y': 0.643706142902374, 'z': -0.153592213988304}","{'x': 0.386687099933624, 'y': 0.615794897079468, 'z': 0.024591561406851}","{'x': 0.394222289323807, 'y': 0.87599778175354, 'z': 0.045381337404251}","{'x': 0.415305912494659, 'y': 1.062491893768311, 'z': 0.299981027841568}","{'x': 0.391050219535828, 'y': 1.209184408187866, 'z': 0.169039472937584}"
"{'x': 0.466741621494293, 'y': -0.009607136249542, 'z': -0.318009048700333}","{'x': 0.606109738349915, 'y': 0.151966989040375, 'z': -0.176801174879074}","{'x': 0.663427829742432, 'y': 0.373428821563721, 'z': -0.079131498932838}","{'x': 0.683359742164612, 'y': 0.606917321681976, 'z': -0.093909069895744}","{'x': 0.697283744812012, 'y': 0.667828679084778, 'z': -0.108421809971333}","{'x': 0.676973581314087, 'y': 0.667576491832733, 'z': -0.166631668806076}","{'x': 0.544148802757263, 'y': 0.63737291097641, 'z': -0.040492657572031}","{'x': 0.568715751171112, 'y': 0.930873334407806, 'z': 0.052065774798393}","{'x': 0.589554905891418, 'y': 1.133294343948364, 'z': 0.405721098184586}","{'x': 0.616353929042816, 'y': 1.267282485961914, 'z': 0.2932208776474}","{'x': 0.3648941218853, 'y': 0.149119764566422, 'z': -0.103813752532005}","{'x': 0.329576671123505, 'y': 0.358865916728973, 'z': -0.023265402764082}","{'x': 0.314760625362396, 'y': 0.571189343929291, 'z': -0.095921784639359}","{'x': 0.295936167240143, 'y': 0.646396934986115, 'z': -0.122881583869457}","{'x': 0.313538789749146, 'y': 0.6477952003479, 'z': -0.168856248259544}","{'x': 0.417284965515137, 'y': 0.631573796272278, 'z': 0.039592232555151}","{'x': 0.409896552562714, 'y': 0.932137012481689, 'z': 0.13580533862114}","{'x': 0.39554426074028, 'y': 1.182030439376831, 'z': 0.365466773509979}","{'x': 0.365429878234863, 'y': 1.303494453430176, 'z': 0.223305493593216}"
"{'x': 0.460155963897705, 'y': -0.019802987575531, 'z': -0.335672646760941}","{'x': 0.596030831336975, 'y': 0.135448515415192, 'z': -0.260779768228531}","{'x': 0.665263831615448, 'y': 0.364958494901657, 'z': -0.229835987091064}","{'x': 0.672133147716522, 'y': 0.615620791912079, 'z': -0.250689387321472}","{'x': 0.671753108501434, 'y': 0.685387253761292, 'z': -0.270421653985977}","{'x': 0.658021688461304, 'y': 0.671332716941833, 'z': -0.312576949596405}","{'x': 0.520799458026886, 'y': 0.634602963924408, 'z': -0.052385788410902}","{'x': 0.534885168075562, 'y': 0.948510348796844, 'z': 0.006141806021333}","{'x': 0.535586357116699, 'y': 1.232341289520264, 'z': 0.215148910880089}","{'x': 0.53263908624649, 'y': 1.342708826065063, 'z': 0.094120636582375}","{'x': 0.368904829025269, 'y': 0.120945185422897, 'z': -0.131735265254974}","{'x': 0.327184081077576, 'y': 0.355307549238205, 'z': -0.056758277118206}","{'x': 0.292564481496811, 'y': 0.581432104110718, 'z': -0.102192923426628}","{'x': 0.277075350284576, 'y': 0.66467672586441, 'z': -0.121420666575432}","{'x': 0.301312267780304, 'y': 0.663786292076111, 'z': -0.173105731606483}","{'x': 0.439113825559616, 'y': 0.621349513530731, 'z': 0.051544923335314}","{'x': 0.397414684295654, 'y': 0.954293012619019, 'z': 0.111666657030582}","{'x': 0.393402397632599, 'y': 1.260008215904236, 'z': 0.239926338195801}","{'x': 0.347540259361267, 'y': 1.363725304603577, 'z': 0.097371980547905}"
"{'x': 0.379844635725021, 'y': -0.017035841941833, 'z': -0.294558882713318}","{'x': 0.513840317726135, 'y': 0.155155777931213, 'z': -0.089640773832798}","{'x': 0.565098881721497, 'y': 0.364372849464417, 'z': 0.032808694988489}","{'x': 0.585095345973969, 'y': 0.555256962776184, 'z': 0.010126006789505}","{'x': 0.596945405006409, 'y': 0.621292412281036, 'z': 0.000756180495955}","{'x': 0.581328213214874, 'y': 0.618736207485199, 'z': -0.051185928285122}","{'x': 0.494388341903687, 'y': 0.61633825302124, 'z': -0.026312356814742}","{'x': 0.531231999397278, 'y': 0.908722698688507, 'z': 0.017101941630244}","{'x': 0.5341876745224, 'y': 1.172744989395142, 'z': 0.290722101926804}","{'x': 0.547702431678772, 'y': 1.276171684265137, 'z': 0.14884902536869}","{'x': 0.278507739305496, 'y': 0.181284427642822, 'z': -0.098709486424923}","{'x': 0.255416452884674, 'y': 0.405484616756439, 'z': -0.045692376792431}","{'x': 0.275149613618851, 'y': 0.59487771987915, 'z': -0.103505440056324}","{'x': 0.270273685455322, 'y': 0.666901350021362, 'z': -0.130624398589134}","{'x': 0.289241164922714, 'y': 0.66521543264389, 'z': -0.158179342746735}","{'x': 0.361093491315842, 'y': 0.631743729114532, 'z': 0.026050759479403}","{'x': 0.378625482320786, 'y': 0.916089951992035, 'z': 0.112138167023659}","{'x': 0.394264459609985, 'y': 1.137035369873047, 'z': 0.425532072782516}","{'x': 0.373657584190369, 'y': 1.252897262573242, 'z': 0.297174841165543}"
