nose,left_shoulder,left_elbow,left_wrist,left_pinky,left_index,left_hip,left_knee,left_heel,left_foot_index,right_shoulder,right_elbow,right_wrist,right_pinky,right_index,right_hip,right_knee,right_heel,right_foot_index
"{'x': 0.578311562538147, 'y': 0.282633900642395, 'z': -0.26649397611618}","{'x': 0.657555878162384, 'y': 0.388818860054016, 'z': -0.003964713774621}","{'x': 0.698339998722076, 'y': 0.538471817970276, 'z': -0.009781589731574}","{'x': 0.683738529682159, 'y': 0.686244010925293, 'z': -0.111655034124851}","{'x': 0.682981789112091, 'y': 0.738228023052216, 'z': -0.13063856959343}","{'x': 0.671493291854858, 'y': 0.734644532203674, 'z': -0.159403681755066}","{'x': 0.624608635902405, 'y': 0.712369441986084, 'z': -0.011973390355706}","{'x': 0.633183717727661, 'y': 0.938545227050781, 'z': -0.038401797413826}","{'x': 0.634014129638672, 'y': 1.157213091850281, 'z': 0.213890761137009}","{'x': 0.644315838813782, 'y': 1.255695104598999, 'z': 0.058761995285749}","{'x': 0.505749940872192, 'y': 0.371461063623428, 'z': 0.009881217032671}","{'x': 0.402978301048279, 'y': 0.347439110279083, 'z': -0.266349077224731}","{'x': 0.446623086929321, 'y': 0.19477379322052, 'z': -0.485746502876282}","{'x': 0.452976286411285, 'y': 0.150621831417084, 'z': -0.55327570438385}","{'x': 0.461648166179657, 'y': 0.148898422718048, 'z': -0.497629314661026}","{'x': 0.533514678478241, 'y': 0.714734673500061, 'z': 0.012725123204291}","{'x': 0.530021905899048, 'y': 0.93733024597168, 'z': 0.042966537177563}","{'x': 0.544024705886841, 'y': 1.158706545829773, 'z': 0.259248346090317}","{'x': 0.530867278575897, 'y': 1.224061727523804, 'z': 0.097598530352116}"
"{'x': 0.587548434734344, 'y': 0.275922954082489, 'z': -0.275296777486801}","{'x': 0.66853404045105, 'y': 0.387604832649231, 'z': -0.010285533964634}","{'x': 0.709608018398285, 'y': 0.537271738052368, 'z': -0.013378450646996}","{'x': 0.691706299781799, 'y': 0.68876588344574, 'z': -0.1126873716712}","{'x': 0.691112160682678, 'y': 0.744495034217834, 'z': -0.132061183452606}","{'x': 0.679745197296143, 'y': 0.740728080272675, 'z': -0.161230742931366}","{'x': 0.63055819272995, 'y': 0.719326615333557, 'z': -0.020045001059771}","{'x': 0.638779044151306, 'y': 0.947009563446045, 'z': -0.103689797222614}","{'x': 0.649417281150818, 'y': 1.199565172195435, 'z': 0.147952064871788}","{'x': 0.639736831188202, 'y': 1.268218517303467, 'z': -0.012825172394514}","{'x': 0.516118884086609, 'y': 0.370857179164886, 'z': 0.013940799050033}","{'x': 0.407005667686462, 'y': 0.347550809383392, 'z': -0.263686984777451}","{'x': 0.454343855381012, 'y': 0.18898993730545, 'z': -0.4812251329422}","{'x': 0.463365703821182, 'y': 0.145915389060974, 'z': -0.548271596431732}","{'x': 0.471707195043564, 'y': 0.141822397708893, 'z': -0.492254436016083}","{'x': 0.538988947868347, 'y': 0.716023683547974, 'z': 0.020843172445893}","{'x': 0.531574487686157, 'y': 0.943935990333557, 'z': 0.067264132201672}","{'x': 0.546645283699036, 'y': 1.159047603607178, 'z': 0.35119566321373}","{'x': 0.532956898212433, 'y': 1.223729491233826, 'z': 0.207814961671829}"
"{'x': 0.566985428333282, 'y': 0.172617435455322, 'z': -0.392439872026443}","{'x': 0.659845173358917, 'y': 0.322249799966812, 'z': -0.03856310993433}","{'x': 0.713567793369293, 'y': 0.496752381324768, 'z': 0.019550323486328}","{'x': 0.714846014976501, 'y': 0.692728042602539, 'z': -0.103365860879421}","{'x': 0.719469904899597, 'y': 0.754317998886108, 'z': -0.120566956698895}","{'x': 0.708375930786133, 'y': 0.745108485221863, 'z': -0.160225048661232}","{'x': 0.632393896579742, 'y': 0.725995123386383, 'z': -0.012950595468283}","{'x': 0.663552820682526, 'y': 0.994768559932709, 'z': -0.148200199007988}","{'x': 0.668430626392365, 'y': 1.311204552650452, 'z': 0.225525513291359}","{'x': 0.656028866767883, 'y': 1.385926246643066, 'z': 0.057297177612782}","{'x': 0.46461209654808, 'y': 0.320586562156677, 'z': -0.029743567109108}","{'x': 0.332557529211044, 'y': 0.354679822921753, 'z': -0.362178683280945}","{'x': 0.372475385665894, 'y': 0.143239259719849, 'z': -0.663197934627533}","{'x': 0.371523410081863, 'y': 0.087948501110077, 'z': -0.727542757987976}","{'x': 0.382697731256485, 'y': 0.07722532749176, 'z': -0.68358439207077}","{'x': 0.512405633926392, 'y': 0.742343544960022, 'z': 0.013727034442127}","{'x': 0.526146113872528, 'y': 0.994661092758179, 'z': 0.057058274745941}","{'x': 0.575384616851807, 'y': 1.280554056167603, 'z': 0.423019617795944}","{'x': 0.576257288455963, 'y': 1.358072280883789, 'z': 0.263431638479233}"
"{'x': 0.660009145736694, 'y': 0.113722145557404, 'z': -0.372057974338531}","{'x': 0.761263966560364, 'y': 0.273126900196075, 'z': -0.090954624116421}","{'x': 0.812013268470764, 'y': 0.477954119443893, 'z': -0.031035348773003}","{'x': 0.820795297622681, 'y': 0.688346028327942, 'z': -0.126063942909241}","{'x': 0.831899404525757, 'y': 0.766712367534637, 'z': -0.160211980342865}","{'x': 0.821304202079773, 'y': 0.766906678676605, 'z': -0.224662959575653}","{'x': 0.70628434419632, 'y': 0.703136384487152, 'z': -0.022841650992632}","{'x': 0.692351937294006, 'y': 1.010872840881348, 'z': 0.043852306902409}","{'x': 0.662502944469452, 'y': 1.315976858139038, 'z': 0.369677692651749}","{'x': 0.640967488288879, 'y': 1.402554988861084, 'z': 0.187036037445068}","{'x': 0.554856777191162, 'y': 0.207634270191193, 'z': -0.022223690524697}","{'x': 0.431132197380066, 'y': 0.067214667797089, 'z': -0.202324837446213}","{'x': 0.407502949237823, 'y': -0.151040077209473, 'z': -0.366564989089966}","{'x': 0.399860501289368, 'y': -0.205955505371094, 'z': -0.443100541830063}","{'x': 0.406418085098267, 'y': -0.20422625541687, 'z': -0.418931424617767}","{'x': 0.578311622142792, 'y': 0.688879907131195, 'z': 0.023184960708022}","{'x': 0.575857639312744, 'y': 1.021851062774658, 'z': 0.047514293342829}","{'x': 0.589785158634186, 'y': 1.299461364746094, 'z': 0.32042396068573}","{'x': 0.582405865192413, 'y': 1.389903664588928, 'z': 0.136958345770836}"
"{'x': 0.577805817127228, 'y': 0.224683821201324, 'z': -0.268414467573166}","{'x': 0.66006737947464, 'y': 0.355064958333969, 'z': -0.056389231234789}","{'x': 0.700990915298462, 'y': 0.536597311496735, 'z': -0.029325816780329}","{'x': 0.71822988986969, 'y': 0.694763779640198, 'z': -0.086995653808117}","{'x': 0.724878549575806, 'y': 0.73944354057312, 'z': -0.113205336034298}","{'x': 0.714330673217773, 'y': 0.736761271953583, 'z': -0.158026456832886}","{'x': 0.620312929153442, 'y': 0.69562029838562, 'z': -0.030649106949568}","{'x': 0.636481523513794, 'y': 0.975588321685791, 'z': -0.050370398908854}","{'x': 0.626825034618378, 'y': 1.245340824127197, 'z': 0.166393056511879}","{'x': 0.612155556678772, 'y': 1.338087320327759, 'z': -0.014726937748492}","{'x': 0.491263419389725, 'y': 0.289062172174454, 'z': 0.028450736775994}","{'x': 0.400783181190491, 'y': 0.13957941532135, 'z': -0.098435707390308}","{'x': 0.375020027160645, 'y': -0.078073740005493, 'z': -0.189187794923782}","{'x': 0.370117247104645, 'y': -0.124324798583984, 'z': -0.245705083012581}","{'x': 0.379078805446625, 'y': -0.136371970176697, 'z': -0.22043451666832}","{'x': 0.520703852176666, 'y': 0.695967376232147, 'z': 0.031161347404122}","{'x': 0.535998165607452, 'y': 0.964670300483704, 'z': -0.003158821491525}","{'x': 0.575021684169769, 'y': 1.240967631340027, 'z': 0.154611513018608}","{'x': 0.55904096364975, 'y': 1.31809139251709, 'z': -0.028600141406059}"
"{'x': 0.619763493537903, 'y': 0.30473929643631, 'z': -0.236157894134521}","{'x': 0.692156851291656, 'y': 0.403946042060852, 'z': -0.010664110071957}","{'x': 0.731618881225586, 'y': 0.540027379989624, 'z': -0.007590188644826}","{'x': 0.727460145950317, 'y': 0.677258372306824, 'z': -0.089888013899326}","{'x': 0.728962063789368, 'y': 0.721359014511108, 'z': -0.099912948906422}","{'x': 0.719986319541931, 'y': 0.719323217868805, 'z': -0.135639399290085}","{'x': 0.65267813205719, 'y': 0.699380993843079, 'z': -0.027164885774255}","{'x': 0.642845213413239, 'y': 0.920301079750061, 'z': -0.033085651695728}","{'x': 0.64017653465271, 'y': 1.128020167350769, 'z': 0.216377139091492}","{'x': 0.620541930198669, 'y': 1.203321814537048, 'z': 0.064691111445427}","{'x': 0.554080486297607, 'y': 0.369119197130203, 'z': 0.049720991402864}","{'x': 0.455523788928986, 'y': 0.330713927745819, 'z': -0.194174259901047}","{'x': 0.458578526973724, 'y': 0.170523762702942, 'z': -0.431677788496017}","{'x': 0.455427914857864, 'y': 0.125105202198029, 'z': -0.495729714632034}","{'x': 0.464898824691772, 'y': 0.117159247398376, 'z': -0.452131330966949}","{'x': 0.568812847137451, 'y': 0.695386111736298, 'z': 0.027736777439713}","{'x': 0.560965716838837, 'y': 0.909786939620972, 'z': 0.016097087413073}","{'x': 0.601873874664307, 'y': 1.119375705718994, 'z': 0.234946817159653}","{'x': 0.581960737705231, 'y': 1.183823466300964, 'z': 0.082621619105339}"
"{'x': 0.645169317722321, 'y': 0.271360963582993, 'z': -0.212737068533897}","{'x': 0.738462090492249, 'y': 0.370709896087646, 'z': -0.008649975992739}","{'x': 0.784542679786682, 'y': 0.520862340927124, 'z': 0.017347522079945}","{'x': 0.780275464057922, 'y': 0.677734315395355, 'z': -0.04034012556076}","{'x': 0.784851551055908, 'y': 0.727847099304199, 'z': -0.04405065625906}","{'x': 0.772667348384857, 'y': 0.725608110427856, 'z': -0.081187672913074}","{'x': 0.704313576221466, 'y': 0.705175995826721, 'z': -0.028272973373532}","{'x': 0.706595718860626, 'y': 0.948624193668365, 'z': -0.042972382158041}","{'x': 0.700763881206512, 'y': 1.156392812728882, 'z': 0.214386194944382}","{'x': 0.686442077159882, 'y': 1.22689962387085, 'z': 0.081060819327831}","{'x': 0.588401556015015, 'y': 0.372738748788834, 'z': 0.050203159451485}","{'x': 0.485384941101074, 'y': 0.378354012966156, 'z': -0.178232312202454}","{'x': 0.492244005203247, 'y': 0.230152606964111, 'z': -0.413042277097702}","{'x': 0.489426493644714, 'y': 0.195330828428268, 'z': -0.468097686767578}","{'x': 0.499971985816956, 'y': 0.190780460834503, 'z': -0.431055814027786}","{'x': 0.611802101135254, 'y': 0.702880799770355, 'z': 0.028463255614042}","{'x': 0.590730428695679, 'y': 0.934062123298645, 'z': -0.001819586963393}","{'x': 0.596078932285309, 'y': 1.129015922546387, 'z': 0.25574117898941}","{'x': 0.580246210098267, 'y': 1.201567530632019, 'z': 0.134593933820724}"
"{'x': 0.614060401916504, 'y': 0.222776651382446, 'z': -0.246684208512306}","{'x': 0.679510414600372, 'y': 0.369344621896744, 'z': 0.060090731829405}","{'x': 0.705835402011871, 'y': 0.546714305877686, 'z': 0.089191757142544}","{'x': 0.736577272415161, 'y': 0.685274183750153, 'z': -0.017036627978086}","{'x': 0.745514988899231, 'y': 0.725582659244537, 'z': -0.045482400804758}","{'x': 0.739448070526123, 'y': 0.726066052913666, 'z': -0.098519504070282}","{'x': 0.662734746932983, 'y': 0.705712020397186, 'z': -3.7998612243e-05}","{'x': 0.66147768497467, 'y': 0.966123104095459, 'z': -0.025901840999722}","{'x': 0.655943334102631, 'y': 1.23686671257019, 'z': 0.240362927317619}","{'x': 0.640297591686249, 'y': 1.304545879364014, 'z': 0.086493648588657}","{'x': 0.525017321109772, 'y': 0.334553390741348, 'z': 0.013702536933124}","{'x': 0.43614450097084, 'y': 0.256545603275299, 'z': -0.26580223441124}","{'x': 0.479392468929291, 'y': 0.068862676620483, 'z': -0.446190059185028}","{'x': 0.483782559633255, 'y': 0.017728507518768, 'z': -0.526979148387909}","{'x': 0.489057153463364, 'y': 0.012683570384979, 'z': -0.479492425918579}","{'x': 0.563375473022461, 'y': 0.708649575710297, 'z': 0.000876282982063}","{'x': 0.565853893756866, 'y': 0.957547724246979, 'z': -0.017470251768827}","{'x': 0.590548098087311, 'y': 1.208042502403259, 'z': 0.248380154371262}","{'x': 0.58036208152771, 'y': 1.280043482780457, 'z': 0.092737846076488}"
"{'x': 0.55315637588501, 'y': 0.183805108070374, 'z': -0.360095500946045}","{'x': 0.644238829612732, 'y': 0.331946551799774, 'z': -0.029961934313178}","{'x': 0.68638950586319, 'y': 0.511721193790436, 'z': 0.019221793860197}","{'x': 0.710953176021576, 'y': 0.689280986785889, 'z': -0.115271590650082}","{'x': 0.720403671264648, 'y': 0.745562016963959, 'z': -0.130499109625816}","{'x': 0.709557592868805, 'y': 0.741750240325928, 'z': -0.183045923709869}","{'x': 0.605593085289001, 'y': 0.731562793254852, 'z': -0.008752869442105}","{'x': 0.622992217540741, 'y': 0.98814982175827, 'z': -0.090733967721462}","{'x': 0.616928577423096, 'y': 1.288108468055725, 'z': 0.308337688446045}","{'x': 0.604766190052032, 'y': 1.359250068664551, 'z': 0.171684443950653}","{'x': 0.456899642944336, 'y': 0.307155698537827, 'z': -0.013491746038198}","{'x': 0.316392064094543, 'y': 0.331966549158096, 'z': -0.310862451791763}","{'x': 0.350102126598358, 'y': 0.1209836602211, 'z': -0.604682743549347}","{'x': 0.350661069154739, 'y': 0.067325115203857, 'z': -0.670326769351959}","{'x': 0.360018908977509, 'y': 0.056928038597107, 'z': -0.632770776748657}","{'x': 0.484173089265823, 'y': 0.73864758014679, 'z': 0.009497479535639}","{'x': 0.480045676231384, 'y': 0.998708426952362, 'z': -0.010631654411554}","{'x': 0.522344946861267, 'y': 1.289378643035889, 'z': 0.315912008285522}","{'x': 0.523759424686432, 'y': 1.365662217140198, 'z': 0.162532150745392}"
"{'x': 0.627134919166565, 'y': 0.230263710021973, 'z': -0.328889071941376}","{'x': 0.716302514076233, 'y': 0.358114868402481, 'z': -0.037697777152061}","{'x': 0.76658046245575, 'y': 0.523961365222931, 'z': -0.020197259262204}","{'x': 0.781176805496216, 'y': 0.685900449752808, 'z': -0.130575001239777}","{'x': 0.787182688713074, 'y': 0.740516781806946, 'z': -0.140532180666924}","{'x': 0.777991414070129, 'y': 0.737443745136261, 'z': -0.18405719101429}","{'x': 0.669349074363708, 'y': 0.716271042823792, 'z': -0.029192676767707}","{'x': 0.656949281692505, 'y': 0.959913015365601, 'z': -0.208044961094856}","{'x': 0.656956851482391, 'y': 1.210798263549805, 'z': 0.111188642680645}","{'x': 0.637149155139923, 'y': 1.28656804561615, 'z': -0.05340675637126}","{'x': 0.540390491485596, 'y': 0.347415298223495, 'z': -0.012050465680659}","{'x': 0.406948864459991, 'y': 0.359717220067978, 'z': -0.285439491271973}","{'x': 0.428663074970245, 'y': 0.184859097003937, 'z': -0.562430500984192}","{'x': 0.431172728538513, 'y': 0.136893510818481, 'z': -0.627001345157623}","{'x': 0.4415003657341, 'y': 0.130352973937988, 'z': -0.581741392612457}","{'x': 0.5582515001297, 'y': 0.711661219596863, 'z': 0.029965868219733}","{'x': 0.531601846218109, 'y': 0.949244856834412, 'z': 0.03192713111639}","{'x': 0.553979337215424, 'y': 1.142727732658386, 'z': 0.462556838989258}","{'x': 0.535455882549286, 'y': 1.22343921661377, 'z': 0.348501712083817}"
