nose,left_shoulder,left_elbow,left_wrist,left_pinky,left_index,left_hip,left_knee,left_heel,left_foot_index,right_shoulder,right_elbow,right_wrist,right_pinky,right_index,right_hip,right_knee,right_heel,right_foot_index
"{'x': 0.620185077190399, 'y': 0.247695744037628, 'z': -0.309504985809326}","{'x': 0.681145787239075, 'y': 0.377757996320724, 'z': -0.07779873162508}","{'x': 0.694802284240723, 'y': 0.526221573352814, 'z': -0.021200004965067}","{'x': 0.681213319301605, 'y': 0.673497259616852, 'z': -0.098983652889729}","{'x': 0.679948627948761, 'y': 0.718229949474335, 'z': -0.12161710858345}","{'x': 0.669934332370758, 'y': 0.714875102043152, 'z': -0.170203596353531}","{'x': 0.594312846660614, 'y': 0.646748900413513, 'z': -0.011271460913122}","{'x': 0.577329039573669, 'y': 0.830638289451599, 'z': -0.315540552139282}","{'x': 0.553812801837921, 'y': 1.0488361120224, 'z': -0.220902532339096}","{'x': 0.539054870605469, 'y': 1.134307861328125, 'z': -0.369136571884155}","{'x': 0.529745817184448, 'y': 0.341428935527802, 'z': -0.075082719326019}","{'x': 0.473988354206085, 'y': 0.469617128372192, 'z': -0.059661790728569}","{'x': 0.430886387825012, 'y': 0.586192905902863, 'z': -0.168151497840881}","{'x': 0.412549883127213, 'y': 0.614393353462219, 'z': -0.203037187457085}","{'x': 0.419605612754822, 'y': 0.615914463996887, 'z': -0.24214780330658}","{'x': 0.510561287403107, 'y': 0.606963932514191, 'z': 0.011527974158525}","{'x': 0.445221483707428, 'y': 0.667092800140381, 'z': -0.373240798711777}","{'x': 0.438684344291687, 'y': 0.958949625492096, 'z': -0.390623271465302}","{'x': 0.401342421770096, 'y': 1.03861665725708, 'z': -0.559619724750519}"
"{'x': 0.613515198230743, 'y': 0.255164414644241, 'z': -0.34477224946022}","{'x': 0.686445295810699, 'y': 0.37608814239502, 'z': -0.090738855302334}","{'x': 0.699750244617462, 'y': 0.531473457813263, 'z': -0.010272323153913}","{'x': 0.683095932006836, 'y': 0.679738461971283, 'z': -0.083654493093491}","{'x': 0.685131072998047, 'y': 0.724790096282959, 'z': -0.105675049126148}","{'x': 0.674308180809021, 'y': 0.720783293247223, 'z': -0.156210154294968}","{'x': 0.596712052822113, 'y': 0.642082273960114, 'z': -0.008014183491468}","{'x': 0.57366955280304, 'y': 0.83026784658432, 'z': -0.238152608275414}","{'x': 0.541878461837769, 'y': 1.063865542411804, 'z': -0.077809900045395}","{'x': 0.53542822599411, 'y': 1.142993807792664, 'z': -0.237326100468636}","{'x': 0.532386004924774, 'y': 0.343584507703781, 'z': -0.06700624525547}","{'x': 0.479813784360886, 'y': 0.480422675609589, 'z': -0.01991000585258}","{'x': 0.436480790376663, 'y': 0.583515882492065, 'z': -0.132477551698685}","{'x': 0.418555438518524, 'y': 0.609100997447968, 'z': -0.165183678269386}","{'x': 0.423257917165756, 'y': 0.610052883625031, 'z': -0.212648898363113}","{'x': 0.513242125511169, 'y': 0.600838959217072, 'z': 0.008301985450089}","{'x': 0.442821264266968, 'y': 0.64109742641449, 'z': -0.460719615221024}","{'x': 0.379001945257187, 'y': 0.972035825252533, 'z': -0.494960695505142}","{'x': 0.338711023330688, 'y': 1.02209484577179, 'z': -0.69662880897522}"
"{'x': 0.631151437759399, 'y': 0.245015054941177, 'z': -0.435747355222702}","{'x': 0.700947642326355, 'y': 0.379473179578781, 'z': -0.194339841604233}","{'x': 0.704815149307251, 'y': 0.533079206943512, 'z': -0.13030306994915}","{'x': 0.678886353969574, 'y': 0.691531777381897, 'z': -0.198303446173668}","{'x': 0.680863499641418, 'y': 0.73776638507843, 'z': -0.22307588160038}","{'x': 0.671277344226837, 'y': 0.736222505569458, 'z': -0.277451395988464}","{'x': 0.598012566566467, 'y': 0.646986067295074, 'z': -0.014894434250891}","{'x': 0.577125251293182, 'y': 0.859591484069824, 'z': -0.176503688097}","{'x': 0.565525591373444, 'y': 1.067818760871887, 'z': 0.03579618781805}","{'x': 0.555964767932892, 'y': 1.163495302200317, 'z': -0.081872940063477}","{'x': 0.546571433544159, 'y': 0.336739420890808, 'z': -0.165603801608086}","{'x': 0.474563628435135, 'y': 0.461144715547562, 'z': -0.12020830065012}","{'x': 0.40989351272583, 'y': 0.561640799045563, 'z': -0.216758906841278}","{'x': 0.384845495223999, 'y': 0.586742281913757, 'z': -0.252926677465439}","{'x': 0.392440378665924, 'y': 0.593486666679382, 'z': -0.299746602773666}","{'x': 0.514065980911255, 'y': 0.602572619915009, 'z': 0.015312468633056}","{'x': 0.395349502563477, 'y': 0.66610848903656, 'z': -0.304701089859009}","{'x': 0.417468130588531, 'y': 0.925808429718018, 'z': -0.201895445585251}","{'x': 0.354501664638519, 'y': 0.996770977973938, 'z': -0.336162120103836}"
"{'x': 0.626085579395294, 'y': 0.255015701055527, 'z': -0.27144256234169}","{'x': 0.694115459918976, 'y': 0.378877192735672, 'z': -0.032065704464912}","{'x': 0.72006893157959, 'y': 0.53134286403656, 'z': 0.023463055491447}","{'x': 0.7414710521698, 'y': 0.683698415756226, 'z': -0.071476861834526}","{'x': 0.750322759151459, 'y': 0.727443277835846, 'z': -0.092722155153751}","{'x': 0.740437984466553, 'y': 0.727902412414551, 'z': -0.14905609190464}","{'x': 0.598528802394867, 'y': 0.645713865756989, 'z': -0.021217044442892}","{'x': 0.588014304637909, 'y': 0.804067373275757, 'z': -0.480053275823593}","{'x': 0.52835351228714, 'y': 1.044203639030457, 'z': -0.469204604625702}","{'x': 0.515162467956543, 'y': 1.106321334838867, 'z': -0.642331182956696}","{'x': 0.535837948322296, 'y': 0.339072495698929, 'z': -0.019733829423785}","{'x': 0.464776575565338, 'y': 0.465829581022263, 'z': -0.00779041275382}","{'x': 0.409681737422943, 'y': 0.57235586643219, 'z': -0.141597628593445}","{'x': 0.387937128543854, 'y': 0.60151994228363, 'z': -0.171996489167213}","{'x': 0.394862562417984, 'y': 0.607759535312653, 'z': -0.219007357954979}","{'x': 0.509615361690521, 'y': 0.597400307655334, 'z': 0.021584317088127}","{'x': 0.462331116199493, 'y': 0.590834617614746, 'z': -0.508531033992767}","{'x': 0.442682862281799, 'y': 0.895114123821259, 'z': -0.626058161258698}","{'x': 0.406305223703384, 'y': 0.955912172794342, 'z': -0.812293529510498}"
"{'x': 0.633292436599731, 'y': 0.239770233631134, 'z': -0.379331082105637}","{'x': 0.708135962486267, 'y': 0.371357768774033, 'z': -0.11432933062315}","{'x': 0.715453267097473, 'y': 0.522768437862396, 'z': -0.038740731775761}","{'x': 0.686360478401184, 'y': 0.670072555541992, 'z': -0.1180519759655}","{'x': 0.68550968170166, 'y': 0.719362914562225, 'z': -0.140703320503235}","{'x': 0.676161527633667, 'y': 0.712835133075714, 'z': -0.199129894375801}","{'x': 0.595340013504028, 'y': 0.654343605041504, 'z': -0.009519557468593}","{'x': 0.575307846069336, 'y': 0.880652010440826, 'z': -0.162282034754753}","{'x': 0.545632541179657, 'y': 1.100573420524597, 'z': 0.063663519918919}","{'x': 0.544982254505157, 'y': 1.1781325340271, 'z': -0.092813707888126}","{'x': 0.551016211509705, 'y': 0.333259046077728, 'z': -0.096410162746906}","{'x': 0.469423562288284, 'y': 0.443923234939575, 'z': -0.063316494226456}","{'x': 0.398976981639862, 'y': 0.543359339237213, 'z': -0.205060884356499}","{'x': 0.375638604164124, 'y': 0.56497859954834, 'z': -0.247208788990974}","{'x': 0.381878137588501, 'y': 0.571303308010101, 'z': -0.293268620967865}","{'x': 0.511472105979919, 'y': 0.598509967327118, 'z': 0.009858696721494}","{'x': 0.380764782428741, 'y': 0.64743173122406, 'z': -0.370497703552246}","{'x': 0.30382251739502, 'y': 0.925022602081299, 'z': -0.314721137285233}","{'x': 0.25513955950737, 'y': 0.983474969863892, 'z': -0.501231908798218}"
"{'x': 0.584354996681213, 'y': 0.255453050136566, 'z': -0.38180735707283}","{'x': 0.666737020015717, 'y': 0.358161389827728, 'z': -0.132914409041405}","{'x': 0.694307923316956, 'y': 0.511653780937195, 'z': -0.090681925415993}","{'x': 0.67795330286026, 'y': 0.674003720283508, 'z': -0.182542935013771}","{'x': 0.68547523021698, 'y': 0.717486500740051, 'z': -0.208804249763489}","{'x': 0.674997806549072, 'y': 0.715189456939697, 'z': -0.249536082148552}","{'x': 0.605082929134369, 'y': 0.619350790977478, 'z': 0.003314486006275}","{'x': 0.584120035171509, 'y': 0.802034139633179, 'z': -0.11694324016571}","{'x': 0.555084705352783, 'y': 0.993366837501526, 'z': 0.003674574196339}","{'x': 0.555263936519623, 'y': 1.055321216583252, 'z': -0.138916984200478}","{'x': 0.516781985759735, 'y': 0.349719256162643, 'z': -0.121873937547207}","{'x': 0.459765315055847, 'y': 0.471569091081619, 'z': -0.076961725950241}","{'x': 0.425618439912796, 'y': 0.588534653186798, 'z': -0.182864502072334}","{'x': 0.409611225128174, 'y': 0.630877733230591, 'z': -0.215985909104347}","{'x': 0.419753789901733, 'y': 0.635793268680573, 'z': -0.257896810770035}","{'x': 0.525311410427094, 'y': 0.601540744304657, 'z': -0.003038139315322}","{'x': 0.559870004653931, 'y': 0.739823758602142, 'z': -0.375804752111435}","{'x': 0.587663769721985, 'y': 0.98076069355011, 'z': -0.374732881784439}","{'x': 0.595604360103607, 'y': 1.0423903465271, 'z': -0.548379123210907}"
"{'x': 0.584725797176361, 'y': 0.256350100040436, 'z': -0.164156943559647}","{'x': 0.669747471809387, 'y': 0.352076381444931, 'z': 0.028019601479173}","{'x': 0.71421480178833, 'y': 0.496282517910004, 'z': 0.089550361037254}","{'x': 0.736478269100189, 'y': 0.651662945747375, 'z': 0.034297678619623}","{'x': 0.747902631759644, 'y': 0.696592807769775, 'z': 0.022106692194939}","{'x': 0.737086296081543, 'y': 0.696395456790924, 'z': -0.028623532503843}","{'x': 0.597027719020844, 'y': 0.641061007976532, 'z': -0.037415646016598}","{'x': 0.579068958759308, 'y': 0.806318163871765, 'z': -0.500673055648804}","{'x': 0.530599236488342, 'y': 1.079288959503174, 'z': -0.483594447374344}","{'x': 0.512830853462219, 'y': 1.15305757522583, 'z': -0.679998517036438}","{'x': 0.51734870672226, 'y': 0.351343303918839, 'z': 0.091966092586517}","{'x': 0.481026291847229, 'y': 0.494438588619232, 'z': 0.111067168414593}","{'x': 0.460292875766754, 'y': 0.585116326808929, 'z': -0.020983099937439}","{'x': 0.446319282054901, 'y': 0.616915166378021, 'z': -0.048117872327566}","{'x': 0.453772962093353, 'y': 0.609638392925262, 'z': -0.082696445286274}","{'x': 0.515302777290344, 'y': 0.605639159679413, 'z': 0.037668455392122}","{'x': 0.449268966913223, 'y': 0.619290173053741, 'z': -0.462021440267563}","{'x': 0.428143441677094, 'y': 0.973895668983459, 'z': -0.552358329296112}","{'x': 0.394946277141571, 'y': 1.009687900543213, 'z': -0.751908481121063}"
"{'x': 0.606881618499756, 'y': 0.226246476173401, 'z': -0.394114464521408}","{'x': 0.687971651554108, 'y': 0.339776068925858, 'z': -0.14250336587429}","{'x': 0.716643929481506, 'y': 0.492744088172913, 'z': -0.069135867059231}","{'x': 0.714675962924957, 'y': 0.655020296573639, 'z': -0.174183487892151}","{'x': 0.720830202102661, 'y': 0.698811888694763, 'z': -0.207693517208099}","{'x': 0.708912074565887, 'y': 0.694433689117432, 'z': -0.266707748174667}","{'x': 0.609532952308655, 'y': 0.643860280513763, 'z': -0.027577146887779}","{'x': 0.579295039176941, 'y': 0.863871395587921, 'z': -0.17338290810585}","{'x': 0.54687911272049, 'y': 1.066911458969116, 'z': 0.114311493933201}","{'x': 0.539997458457947, 'y': 1.153696060180664, 'z': -0.006894286721945}","{'x': 0.529390454292297, 'y': 0.335306078195572, 'z': -0.109393633902073}","{'x': 0.477163255214691, 'y': 0.481994420289993, 'z': -0.04557591676712}","{'x': 0.444897919893265, 'y': 0.596890807151794, 'z': -0.178986981511116}","{'x': 0.43289053440094, 'y': 0.640702605247498, 'z': -0.218672901391983}","{'x': 0.440809458494186, 'y': 0.641701638698578, 'z': -0.270596295595169}","{'x': 0.521030485630035, 'y': 0.619539082050323, 'z': 0.02762003429234}","{'x': 0.427584946155548, 'y': 0.808488965034485, 'z': -0.138157352805138}","{'x': 0.431816160678864, 'y': 1.036595940589905, 'z': 0.071880713105202}","{'x': 0.390860795974731, 'y': 1.113290071487427, 'z': -0.063303060829639}"
"{'x': 0.589595377445221, 'y': 0.245253801345825, 'z': -0.250807553529739}","{'x': 0.67522269487381, 'y': 0.342614084482193, 'z': -0.034681264311075}","{'x': 0.715447723865509, 'y': 0.488621592521667, 'z': 0.070453494787216}","{'x': 0.726889133453369, 'y': 0.646267056465149, 'z': 0.037609647959471}","{'x': 0.734125733375549, 'y': 0.6903355717659, 'z': 0.025164013728499}","{'x': 0.724480986595154, 'y': 0.691409111022949, 'z': -0.030460944399238}","{'x': 0.602026045322418, 'y': 0.639748871326447, 'z': -0.027891431003809}","{'x': 0.577523291110992, 'y': 0.837459087371826, 'z': -0.268492698669434}","{'x': 0.541441023349762, 'y': 1.048882961273193, 'z': -0.112139917910099}","{'x': 0.522982120513916, 'y': 1.126507520675659, 'z': -0.270789474248886}","{'x': 0.520638883113861, 'y': 0.347670674324036, 'z': 0.017297567799687}","{'x': 0.479592621326447, 'y': 0.488875269889832, 'z': 0.076425105333328}","{'x': 0.444580793380737, 'y': 0.57796323299408, 'z': -0.028465623036027}","{'x': 0.430097937583923, 'y': 0.609660923480988, 'z': -0.053916733711958}","{'x': 0.435865759849548, 'y': 0.599931716918945, 'z': -0.09738314896822}","{'x': 0.518685102462769, 'y': 0.598266005516052, 'z': 0.028135461732745}","{'x': 0.410491466522217, 'y': 0.66172993183136, 'z': -0.377819061279297}","{'x': 0.355282008647919, 'y': 0.971900284290314, 'z': -0.420768707990646}","{'x': 0.29634228348732, 'y': 1.014470815658569, 'z': -0.613238215446472}"
"{'x': 0.577747046947479, 'y': 0.23222404718399, 'z': -0.357236564159393}","{'x': 0.668869495391846, 'y': 0.331690192222595, 'z': -0.127131998538971}","{'x': 0.712523698806763, 'y': 0.478797823190689, 'z': -0.025028917938471}","{'x': 0.722443342208862, 'y': 0.645736336708069, 'z': -0.054902143776417}","{'x': 0.732811748981476, 'y': 0.688917994499207, 'z': -0.072602495551109}","{'x': 0.720179200172424, 'y': 0.689738929271698, 'z': -0.133032113313675}","{'x': 0.582093238830566, 'y': 0.655537843704224, 'z': -0.055647421628237}","{'x': 0.573131024837494, 'y': 0.858063519001007, 'z': -0.299353331327438}","{'x': 0.536577820777893, 'y': 1.092546463012695, 'z': -0.071857213973999}","{'x': 0.524094700813293, 'y': 1.145766139030457, 'z': -0.243084833025932}","{'x': 0.5083047747612, 'y': 0.343112528324127, 'z': -0.019346173852682}","{'x': 0.455859661102295, 'y': 0.491447150707245, 'z': 0.051827870309353}","{'x': 0.419926047325134, 'y': 0.579203844070435, 'z': -0.082539536058903}","{'x': 0.406981706619263, 'y': 0.60978889465332, 'z': -0.114089637994766}","{'x': 0.414876878261566, 'y': 0.597961485385895, 'z': -0.157750502228737}","{'x': 0.49665105342865, 'y': 0.607212066650391, 'z': 0.055957954376936}","{'x': 0.33656844496727, 'y': 0.624739468097687, 'z': -0.290409982204437}","{'x': 0.254243582487106, 'y': 0.936267733573914, 'z': -0.257617741823196}","{'x': 0.171090692281723, 'y': 0.956357300281525, 'z': -0.436732888221741}"
