Left,Gestures,index_finger_dip,index_finger_mcp,index_finger_pip,index_finger_tip,middle_finger_dip,middle_finger_mcp,middle_finger_pip,middle_finger_tip,pinky_finger_dip,pinky_finger_mcp,pinky_finger_pip,pinky_finger_tip,ring_finger_dip,ring_finger_mcp,ring_finger_pip,ring_finger_tip,thumb_cmc,thumb_ip,thumb_mcp,thumb_tip,wrist
1.0,{'Closed_Fist': 0.505436182022095},"{'x': 0.967989325523376, 'y': 0.787276744842529, 'z': -0.006918622646481}","{'x': 0.977761447429657, 'y': 0.812482535839081, 'z': 0.002897069323808}","{'x': 0.97126704454422, 'y': 0.770890593528748, 'z': -0.001300357514992}","{'x': 0.969834685325623, 'y': 0.809205591678619, 'z': -0.010895861312747}","{'x': 0.947024047374725, 'y': 0.78860479593277, 'z': -0.006924161687493}","{'x': 0.953605532646179, 'y': 0.813785433769226, 'z': -0.002170032355934}","{'x': 0.946729421615601, 'y': 0.771925687789917, 'z': -0.004212660249323}","{'x': 0.949404776096344, 'y': 0.811313092708588, 'z': -0.01008711848408}","{'x': 0.907979309558868, 'y': 0.808783054351807, 'z': -0.007057105656713}","{'x': 0.907595098018646, 'y': 0.831422209739685, 'z': -0.010729680769145}","{'x': 0.903584241867065, 'y': 0.795786917209625, 'z': -0.011305771768093}","{'x': 0.913367688655853, 'y': 0.828007698059082, 'z': -0.004157266579568}","{'x': 0.924578905105591, 'y': 0.794251084327698, 'z': -0.007793836761266}","{'x': 0.929282128810883, 'y': 0.820853888988495, 'z': -0.006791217718273}","{'x': 0.922225177288055, 'y': 0.778217494487762, 'z': -0.009001409634948}","{'x': 0.928592026233673, 'y': 0.816594123840332, 'z': -0.007832611910999}","{'x': 0.968421399593353, 'y': 0.884693741798401, 'z': 0.004882919136435}","{'x': 0.985756278038025, 'y': 0.81001204252243, 'z': 0.001772585441358}","{'x': 0.9863161444664, 'y': 0.843578040599823, 'z': 0.004373300354928}","{'x': 0.970066130161285, 'y': 0.792228102684021, 'z': -0.00170472858008}","{'x': 0.933383762836456, 'y': 0.91901832818985, 'z': -6.6435433e-08}"
1.0,{'Closed_Fist': 0.779194593429565},"{'x': 0.832826614379883, 'y': 0.441328763961792, 'z': -0.038920771330595}","{'x': 0.805967926979065, 'y': 0.456107825040817, 'z': 0.013699798844755}","{'x': 0.817570865154266, 'y': 0.369593471288681, 'z': -0.024612529203296}","{'x': 0.824418127536774, 'y': 0.473165214061737, 'z': -0.038901142776012}","{'x': 0.869495272636414, 'y': 0.468544870615005, 'z': -0.011756703257561}","{'x': 0.847791075706482, 'y': 0.454845368862152, 'z': 0.025692028924823}","{'x': 0.86482185125351, 'y': 0.380839705467224, 'z': -0.010775342583656}","{'x': 0.847711801528931, 'y': 0.478442192077637, 'z': 0.000496507273056}","{'x': 0.937096178531647, 'y': 0.479144632816315, 'z': 0.002703649457544}","{'x': 0.924952268600464, 'y': 0.457538574934006, 'z': 0.019421132281423}","{'x': 0.938129842281342, 'y': 0.4187892973423, 'z': -0.003550072899088}","{'x': 0.924788892269135, 'y': 0.497689843177795, 'z': 0.015112957917154}","{'x': 0.903231620788574, 'y': 0.48908868432045, 'z': -0.009102121926844}","{'x': 0.88613897562027, 'y': 0.456710070371628, 'z': 0.024710666388273}","{'x': 0.903096318244934, 'y': 0.405926764011383, 'z': -0.016977543011308}","{'x': 0.88348251581192, 'y': 0.494546175003052, 'z': 0.009425970725715}","{'x': 0.860660314559937, 'y': 0.635071158409119, 'z': -0.04353317245841}","{'x': 0.806309998035431, 'y': 0.441058725118637, 'z': -0.044946327805519}","{'x': 0.815764665603638, 'y': 0.539457023143768, 'z': -0.046359486877918}","{'x': 0.804965615272522, 'y': 0.376368582248688, 'z': -0.032757826149464}","{'x': 0.925650596618652, 'y': 0.65473997592926, 'z': -5.43569911e-07}"
1.0,{'Closed_Fist': 0.87369167804718},"{'x': 0.665430426597595, 'y': 0.499357670545578, 'z': -0.038857705891132}","{'x': 0.647687494754791, 'y': 0.492246598005295, 'z': 0.024004248902202}","{'x': 0.641172647476196, 'y': 0.420417070388794, 'z': -0.019174667075276}","{'x': 0.668859124183655, 'y': 0.526328027248383, 'z': -0.044140409678221}","{'x': 0.708342552185059, 'y': 0.515763640403748, 'z': -0.02877857722342}","{'x': 0.694109916687012, 'y': 0.482055634260178, 'z': 0.027142928913236}","{'x': 0.688882529735565, 'y': 0.411614298820496, 'z': -0.020699799060822}","{'x': 0.702394127845764, 'y': 0.532208740711212, 'z': -0.018644185736775}","{'x': 0.790612995624542, 'y': 0.518403112888336, 'z': -0.011211930774152}","{'x': 0.788006544113159, 'y': 0.489231407642365, 'z': 0.004804717842489}","{'x': 0.788368403911591, 'y': 0.446887999773026, 'z': -0.022501222789288}","{'x': 0.782489776611328, 'y': 0.542098641395569, 'z': 0.007023342885077}","{'x': 0.754673957824707, 'y': 0.530965507030487, 'z': -0.026258792728186}","{'x': 0.739793539047241, 'y': 0.483026087284088, 'z': 0.017715843394399}","{'x': 0.743732273578644, 'y': 0.429224133491516, 'z': -0.035807445645332}","{'x': 0.746059417724609, 'y': 0.54955118894577, 'z': -0.002098437864333}","{'x': 0.714692711830139, 'y': 0.673152208328247, 'z': -0.038150399923325}","{'x': 0.617126226425171, 'y': 0.498069316148758, 'z': -0.056761432439089}","{'x': 0.648343980312347, 'y': 0.594980239868164, 'z': -0.047522224485874}","{'x': 0.628178238868713, 'y': 0.417970061302185, 'z': -0.056186743080616}","{'x': 0.790291547775269, 'y': 0.696119904518127, 'z': -6.23613175e-07}"
1.0,{'Open_Palm': 0.63239461183548},"{'x': 0.550327897071838, 'y': 0.363718003034592, 'z': -0.021358793601394}","{'x': 0.607584416866302, 'y': 0.505398035049438, 'z': 0.001634634565562}","{'x': 0.569512486457825, 'y': 0.417708933353424, 'z': -0.008748291991651}","{'x': 0.537251591682434, 'y': 0.315906435251236, 'z': -0.032219637185335}","{'x': 0.608751118183136, 'y': 0.324902772903442, 'z': -0.014787854626775}","{'x': 0.651541292667389, 'y': 0.480374425649643, 'z': 0.000972032546997}","{'x': 0.622928142547607, 'y': 0.383667707443237, 'z': -0.004600953776389}","{'x': 0.598974287509918, 'y': 0.276187866926193, 'z': -0.02360094897449}","{'x': 0.775540173053741, 'y': 0.366643458604813, 'z': -0.041706677526236}","{'x': 0.748411536216736, 'y': 0.493146002292633, 'z': -0.016563434153795}","{'x': 0.765437364578247, 'y': 0.418087154626846, 'z': -0.032427001744509}","{'x': 0.783234715461731, 'y': 0.316704332828522, 'z': -0.048083208501339}","{'x': 0.667373418807983, 'y': 0.325335621833801, 'z': -0.031182801350951}","{'x': 0.698004186153412, 'y': 0.478286325931549, 'z': -0.006084923166782}","{'x': 0.679611563682556, 'y': 0.383574843406677, 'z': -0.019362887367606}","{'x': 0.655570566654205, 'y': 0.274595260620117, 'z': -0.040306944400072}","{'x': 0.643552958965302, 'y': 0.725211024284363, 'z': -0.028253743425012}","{'x': 0.524703860282898, 'y': 0.595360636711121, 'z': -0.043002717196941}","{'x': 0.574295818805695, 'y': 0.657492101192474, 'z': -0.036392897367477}","{'x': 0.483247697353363, 'y': 0.545356690883636, 'z': -0.047357425093651}","{'x': 0.727979958057404, 'y': 0.74595445394516, 'z': 3.87610612e-07}"
1.0,{'None': 0.719825625419617},"{'x': 0.636148512363434, 'y': 0.345876455307007, 'z': -0.016879254952073}","{'x': 0.669615864753723, 'y': 0.422738909721375, 'z': 0.033405482769012}","{'x': 0.668394029140472, 'y': 0.338024377822876, 'z': -0.001159069826826}","{'x': 0.615091025829315, 'y': 0.37467098236084, 'z': -0.019979303702712}","{'x': 0.632831513881683, 'y': 0.439103096723557, 'z': -0.024491470307112}","{'x': 0.700704574584961, 'y': 0.431015431880951, 'z': 0.018313441425562}","{'x': 0.662424981594086, 'y': 0.361098259687424, 'z': -0.021148717030883}","{'x': 0.644492924213409, 'y': 0.479876816272736, 'z': -0.012675990350544}","{'x': 0.699384450912476, 'y': 0.508260190486908, 'z': -0.034111544489861}","{'x': 0.768449306488037, 'y': 0.48803773522377, 'z': -0.02744809910655}","{'x': 0.724774122238159, 'y': 0.454207062721252, 'z': -0.047085404396057}","{'x': 0.712085962295532, 'y': 0.535543441772461, 'z': -0.016901321709156}","{'x': 0.663053452968597, 'y': 0.485206365585327, 'z': -0.029897244647145}","{'x': 0.734065234661102, 'y': 0.452411293983459, 'z': -0.004051573574543}","{'x': 0.689044833183289, 'y': 0.401825308799744, 'z': -0.043753679841757}","{'x': 0.677943587303162, 'y': 0.520657181739807, 'z': -0.007132313214242}","{'x': 0.627489268779755, 'y': 0.606603026390076, 'z': 0.001165275461972}","{'x': 0.614270985126495, 'y': 0.43377360701561, 'z': -0.006227673497051}","{'x': 0.608678638935089, 'y': 0.506664514541626, 'z': 0.00170998997055}","{'x': 0.62780088186264, 'y': 0.380118310451508, 'z': -0.010122037492692}","{'x': 0.687586426734924, 'y': 0.682038605213165, 'z': -7.30586578e-07}"
1.0,{'None': 0.567899346351624},"{'x': 0.694674849510193, 'y': 0.518844306468964, 'z': 0.000999927287921}","{'x': 0.728032112121582, 'y': 0.624407112598419, 'z': 0.011446246877313}","{'x': 0.705784320831299, 'y': 0.558796942234039, 'z': 0.007185134571046}","{'x': 0.687367796897888, 'y': 0.484016895294189, 'z': -0.004339765757322}","{'x': 0.762808680534363, 'y': 0.483233720064163, 'z': -0.001738450839184}","{'x': 0.769104838371277, 'y': 0.613754868507385, 'z': 0.008818329311907}","{'x': 0.763578176498413, 'y': 0.533593475818634, 'z': 0.006241304799914}","{'x': 0.764469623565674, 'y': 0.44426617026329, 'z': -0.007596902549267}","{'x': 0.869833946228027, 'y': 0.550266087055206, 'z': -0.023410676047206}","{'x': 0.845352053642273, 'y': 0.639838755130768, 'z': -0.00612563919276}","{'x': 0.862385272979736, 'y': 0.584615051746368, 'z': -0.017710683867335}","{'x': 0.874548554420471, 'y': 0.516954123973846, 'z': -0.026501255109906}","{'x': 0.814326643943787, 'y': 0.509420275688171, 'z': -0.018811820074916}","{'x': 0.807135701179504, 'y': 0.621167540550232, 'z': 0.002081976970658}","{'x': 0.811427772045135, 'y': 0.550088703632355, 'z': -0.008554612286389}","{'x': 0.815186083316803, 'y': 0.475353926420212, 'z': -0.024817166849971}","{'x': 0.740328848361969, 'y': 0.776705741882324, 'z': -0.013213614933193}","{'x': 0.696954131126404, 'y': 0.628805816173553, 'z': -0.010067516006529}","{'x': 0.701380968093872, 'y': 0.701503396034241, 'z': -0.011464754119515}","{'x': 0.692622184753418, 'y': 0.577909052371979, 'z': -0.007384078577161}","{'x': 0.803860902786255, 'y': 0.813030362129211, 'z': 2.8351576e-07}"
0.0,{'Open_Palm': 0.569865942001343},"{'x': 0.48432719707489, 'y': 0.538551509380341, 'z': 0.110053174197674}","{'x': 0.521531820297241, 'y': 0.631136476993561, 'z': 0.074985779821873}","{'x': 0.494834303855896, 'y': 0.57648241519928, 'z': 0.103799484670162}","{'x': 0.475489258766174, 'y': 0.507676661014557, 'z': 0.109819389879704}","{'x': 0.521048605442047, 'y': 0.501169383525848, 'z': 0.102689020335674}","{'x': 0.559132158756256, 'y': 0.603704035282135, 'z': 0.073699973523617}","{'x': 0.535617768764496, 'y': 0.543960332870483, 'z': 0.106546431779861}","{'x': 0.512123942375183, 'y': 0.467528522014618, 'z': 0.094681963324547}","{'x': 0.619414210319519, 'y': 0.503240644931793, 'z': 0.080771900713444}","{'x': 0.634885549545288, 'y': 0.593496143817902, 'z': 0.060199022293091}","{'x': 0.626567125320435, 'y': 0.535091757774353, 'z': 0.076856039464474}","{'x': 0.610658526420593, 'y': 0.475930213928223, 'z': 0.080012105405331}","{'x': 0.563362658023834, 'y': 0.49259477853775, 'z': 0.084044851362705}","{'x': 0.594143211841583, 'y': 0.59264200925827, 'z': 0.067796960473061}","{'x': 0.576974749565125, 'y': 0.534168899059296, 'z': 0.090356990695}","{'x': 0.554179847240448, 'y': 0.45811402797699, 'z': 0.07492733001709}","{'x': 0.537404000759125, 'y': 0.750176966190338, 'z': 0.001791724585928}","{'x': 0.451622277498245, 'y': 0.682665765285492, 'z': 0.032788015902042}","{'x': 0.480560570955276, 'y': 0.724490106105804, 'z': 0.018731832504272}","{'x': 0.441608309745789, 'y': 0.641439139842987, 'z': 0.048100773245096}","{'x': 0.615509033203125, 'y': 0.738609910011292, 'z': 4.61957569e-07}"
0.0,{'Closed_Fist': 0.666276156902313},"{'x': 0.233401283621788, 'y': 0.317159980535507, 'z': -0.054160691797733}","{'x': 0.268597334623337, 'y': 0.333103895187378, 'z': -0.007484687492251}","{'x': 0.271824777126312, 'y': 0.290173828601837, 'z': -0.037687603384256}","{'x': 0.222785264253616, 'y': 0.341962277889252, 'z': -0.059714939445257}","{'x': 0.213257074356079, 'y': 0.29733794927597, 'z': -0.033515144139528}","{'x': 0.252811968326569, 'y': 0.294157564640045, 'z': 0.001678127795458}","{'x': 0.250400990247726, 'y': 0.255644053220749, 'z': -0.027825426310301}","{'x': 0.211033284664154, 'y': 0.324436664581299, 'z': -0.029478155076504}","{'x': 0.180408880114555, 'y': 0.252697944641113, 'z': -0.014197198674083}","{'x': 0.207952752709389, 'y': 0.243567645549774, 'z': 0.004199552815408}","{'x': 0.20476733148098, 'y': 0.215671926736832, 'z': -0.017827780917287}","{'x': 0.177096277475357, 'y': 0.283879280090332, 'z': -0.003881199751049}","{'x': 0.197363153100014, 'y': 0.270130336284637, 'z': -0.020740373060107}","{'x': 0.232671171426773, 'y': 0.266213029623032, 'z': 0.004267287906259}","{'x': 0.231582328677177, 'y': 0.226267486810684, 'z': -0.027473205700517}","{'x': 0.195414125919342, 'y': 0.3011234998703, 'z': -0.007125693373382}","{'x': 0.173943355679512, 'y': 0.39629602432251, 'z': -0.032268822193146}","{'x': 0.289235085248947, 'y': 0.370645493268967, 'z': -0.046547304838896}","{'x': 0.239877089858055, 'y': 0.408034563064575, 'z': -0.041507843881845}","{'x': 0.304636538028717, 'y': 0.318721741437912, 'z': -0.04633055627346}","{'x': 0.130625277757645, 'y': 0.363428086042404, 'z': -2.35029262e-07}"
1.0,{'None': 0.749505043029785},"{'x': 0.672084152698517, 'y': 0.808441698551178, 'z': 0.001803803257644}","{'x': 0.705081462860107, 'y': 0.878614842891693, 'z': 0.020260989665985}","{'x': 0.676763117313385, 'y': 0.829067289829254, 'z': 0.014678158797324}","{'x': 0.672860205173492, 'y': 0.801557898521423, 'z': -0.008272500708699}","{'x': 0.693459093570709, 'y': 0.775212824344635, 'z': 0.002422028919682}","{'x': 0.730601966381073, 'y': 0.853730618953705, 'z': 0.019199280068278}","{'x': 0.702529788017273, 'y': 0.801514744758606, 'z': 0.01783674955368}","{'x': 0.693426728248596, 'y': 0.771742582321167, 'z': -0.011130273342133}","{'x': 0.77315491437912, 'y': 0.767732739448547, 'z': -0.006591458339244}","{'x': 0.796225726604462, 'y': 0.836371898651123, 'z': 0.007299265358597}","{'x': 0.785595118999481, 'y': 0.791271865367889, 'z': 0.001006413833238}","{'x': 0.767069876194, 'y': 0.767281651496887, 'z': -0.012271612882614}","{'x': 0.726799368858337, 'y': 0.762958705425262, 'z': -0.004191547632217}","{'x': 0.760336637496948, 'y': 0.8424232006073, 'z': 0.01412960793823}","{'x': 0.738743484020233, 'y': 0.793542861938477, 'z': 0.009555402211845}","{'x': 0.725990533828735, 'y': 0.766585826873779, 'z': -0.015111691318452}","{'x': 0.769688129425049, 'y': 0.994824945926666, 'z': -0.012669755145907}","{'x': 0.68410050868988, 'y': 0.914728045463562, 'z': -0.022897573187947}","{'x': 0.716090679168701, 'y': 0.969628691673279, 'z': -0.017527084797621}","{'x': 0.672294557094574, 'y': 0.857985138893127, 'z': -0.025197949260473}","{'x': 0.835023999214172, 'y': 0.99892646074295, 'z': 1.84684893e-07}"
1.0,{'None': 0.54026871919632},"{'x': 0.690182685852051, 'y': 0.763905107975006, 'z': -0.006854960229248}","{'x': 0.723075807094574, 'y': 0.843602299690247, 'z': 0.013350347056985}","{'x': 0.696850001811981, 'y': 0.790177345275879, 'z': 0.006559925153852}","{'x': 0.687372207641602, 'y': 0.740439534187317, 'z': -0.018863817676902}","{'x': 0.713204324245453, 'y': 0.732590556144714, 'z': -0.002489360282198}","{'x': 0.750286459922791, 'y': 0.819611430168152, 'z': 0.013156729750335}","{'x': 0.722719669342041, 'y': 0.764498114585876, 'z': 0.010399992577732}","{'x': 0.708986520767212, 'y': 0.706085860729218, 'z': -0.014419849030674}","{'x': 0.802781760692596, 'y': 0.745878040790558, 'z': -0.008560632355511}","{'x': 0.821355700492859, 'y': 0.816900551319122, 'z': -0.000266655406449}","{'x': 0.81065309047699, 'y': 0.770633518695831, 'z': -0.005799286998808}","{'x': 0.79535037279129, 'y': 0.725318551063538, 'z': -0.01140495762229}","{'x': 0.751404404640198, 'y': 0.729242324829102, 'z': -0.004142018500715}","{'x': 0.781200230121613, 'y': 0.813334703445435, 'z': 0.007956732064486}","{'x': 0.760276257991791, 'y': 0.759107232093811, 'z': 0.003215423552319}","{'x': 0.746239900588989, 'y': 0.706413269042969, 'z': -0.011607794091105}","{'x': 0.792333126068115, 'y': 0.981319189071655, 'z': -0.020394314080477}","{'x': 0.706210732460022, 'y': 0.906320571899414, 'z': -0.039940398186445}","{'x': 0.738875865936279, 'y': 0.956075549125671, 'z': -0.030536148697138}","{'x': 0.695242583751678, 'y': 0.847941637039185, 'z': -0.046320538967848}","{'x': 0.852184295654297, 'y': 0.98393326997757, 'z': 3.43268454e-07}"
