nose,left_shoulder,left_elbow,left_wrist,left_pinky,left_index,left_hip,left_knee,left_heel,left_foot_index,right_shoulder,right_elbow,right_wrist,right_pinky,right_index,right_hip,right_knee,right_heel,right_foot_index
"{'x': 0.60267698764801, 'y': 0.153706818819046, 'z': -0.150896519422531}","{'x': 0.682818591594696, 'y': 0.273405015468597, 'z': 0.066521383821964}","{'x': 0.716534078121185, 'y': 0.426961958408356, 'z': 0.086203537881374}","{'x': 0.714595794677734, 'y': 0.550365567207336, 'z': -0.041945576667786}","{'x': 0.721860229969025, 'y': 0.593226194381714, 'z': -0.072006575763226}","{'x': 0.711310148239136, 'y': 0.583481192588806, 'z': -0.103842191398144}","{'x': 0.686111211776733, 'y': 0.530258774757385, 'z': -0.044957052916288}","{'x': 0.626725673675537, 'y': 0.600937843322754, 'z': -0.505067765712738}","{'x': 0.610822021961212, 'y': 0.820846140384674, 'z': -0.495172917842865}","{'x': 0.573552310466766, 'y': 0.886685252189636, 'z': -0.654350996017456}","{'x': 0.542449414730072, 'y': 0.30448380112648, 'z': 0.147347286343575}","{'x': 0.519663691520691, 'y': 0.448359161615372, 'z': 0.151972055435181}","{'x': 0.527297973632812, 'y': 0.570334553718567, 'z': -0.019897261634469}","{'x': 0.518396198749542, 'y': 0.595235586166382, 'z': -0.044795725494623}","{'x': 0.522131383419037, 'y': 0.593812465667725, 'z': -0.082815624773502}","{'x': 0.608939647674561, 'y': 0.559048116207123, 'z': 0.045010831207037}","{'x': 0.603847026824951, 'y': 0.717986404895782, 'z': -0.249952614307404}","{'x': 0.632542848587036, 'y': 0.943794012069702, 'z': -0.321797877550125}","{'x': 0.617565929889679, 'y': 0.983981072902679, 'z': -0.517543911933899}"
"{'x': 0.590864062309265, 'y': 0.164850205183029, 'z': -0.204863488674164}","{'x': 0.669547140598297, 'y': 0.272402763366699, 'z': -0.004609428346157}","{'x': 0.733582735061646, 'y': 0.378758490085602, 'z': 0.021626081317663}","{'x': 0.773109912872314, 'y': 0.495839416980743, 'z': -0.123264342546463}","{'x': 0.788246750831604, 'y': 0.529012084007263, 'z': -0.163429126143456}","{'x': 0.775439381599426, 'y': 0.531165361404419, 'z': -0.20243975520134}","{'x': 0.661816358566284, 'y': 0.557139754295349, 'z': -0.034307420253754}","{'x': 0.650188148021698, 'y': 0.77440744638443, 'z': -0.082695595920086}","{'x': 0.643226683139801, 'y': 0.980493307113647, 'z': 0.085350170731544}","{'x': 0.62775582075119, 'y': 1.044764757156372, 'z': -0.069653585553169}","{'x': 0.533918142318726, 'y': 0.300421416759491, 'z': 0.050465665757656}","{'x': 0.518145501613617, 'y': 0.438847720623016, 'z': 0.08459996432066}","{'x': 0.511922597885132, 'y': 0.548876821994781, 'z': -0.03996280580759}","{'x': 0.503835797309875, 'y': 0.578707635402679, 'z': -0.071384824812412}","{'x': 0.512344181537628, 'y': 0.573588967323303, 'z': -0.113857932388783}","{'x': 0.583084285259247, 'y': 0.567134201526642, 'z': 0.034163150936365}","{'x': 0.603122651576996, 'y': 0.767236530780792, 'z': 0.087427660822868}","{'x': 0.646277904510498, 'y': 0.953398048877716, 'z': 0.265687733888626}","{'x': 0.619764089584351, 'y': 0.993021726608276, 'z': 0.133190125226974}"
"{'x': 0.665847659111023, 'y': 0.130135744810104, 'z': -0.315900415182114}","{'x': 0.695321977138519, 'y': 0.281197160482407, 'z': 0.047233771532774}","{'x': 0.723048448562622, 'y': 0.411594390869141, 'z': 0.065177157521248}","{'x': 0.773328542709351, 'y': 0.450941413640976, 'z': -0.127328440546989}","{'x': 0.786849021911621, 'y': 0.466488659381866, 'z': -0.160855039954185}","{'x': 0.787840843200684, 'y': 0.456164360046387, 'z': -0.19607612490654}","{'x': 0.688043713569641, 'y': 0.58886706829071, 'z': 0.089686669409275}","{'x': 0.693643689155579, 'y': 0.788871705532074, 'z': 0.182520240545273}","{'x': 0.672352313995361, 'y': 0.996643304824829, 'z': 0.391668111085892}","{'x': 0.720202386379242, 'y': 1.031695246696472, 'z': 0.299197643995285}","{'x': 0.577047765254974, 'y': 0.278147041797638, 'z': -0.251509994268417}","{'x': 0.547037541866302, 'y': 0.44817042350769, 'z': -0.27741140127182}","{'x': 0.577894628047943, 'y': 0.57630056142807, 'z': -0.30912247300148}","{'x': 0.579159319400787, 'y': 0.612928807735443, 'z': -0.351968735456467}","{'x': 0.591584026813507, 'y': 0.59617280960083, 'z': -0.373028784990311}","{'x': 0.618840396404266, 'y': 0.60406881570816, 'z': -0.089384086430073}","{'x': 0.646626174449921, 'y': 0.827296495437622, 'z': -0.033193752169609}","{'x': 0.637617409229279, 'y': 1.048789858818054, 'z': 0.12853878736496}","{'x': 0.693421959877014, 'y': 1.098721027374268, 'z': -4.9879512517e-05}"
"{'x': 0.679716765880585, 'y': 0.137551337480545, 'z': -0.235285118222237}","{'x': 0.683497428894043, 'y': 0.276688396930695, 'z': 0.100568249821663}","{'x': 0.678329527378082, 'y': 0.425570130348206, 'z': 0.194212898612022}","{'x': 0.710425734519958, 'y': 0.527486801147461, 'z': 0.099570780992508}","{'x': 0.721760272979736, 'y': 0.567194163799286, 'z': 0.084432736039162}","{'x': 0.723617732524872, 'y': 0.555609941482544, 'z': 0.031390905380249}","{'x': 0.673453629016876, 'y': 0.57445240020752, 'z': 0.092471159994602}","{'x': 0.679905712604523, 'y': 0.792321562767029, 'z': 0.141053721308708}","{'x': 0.666672825813293, 'y': 1.010788917541504, 'z': 0.302760899066925}","{'x': 0.715101063251495, 'y': 1.056953191757202, 'z': 0.191748559474945}","{'x': 0.577162384986877, 'y': 0.24059471487999, 'z': -0.148094668984413}","{'x': 0.485505670309067, 'y': 0.318484097719193, 'z': -0.26638263463974}","{'x': 0.42632919549942, 'y': 0.328713953495026, 'z': -0.430436819791794}","{'x': 0.401259899139404, 'y': 0.329898953437805, 'z': -0.48441743850708}","{'x': 0.412864506244659, 'y': 0.32944992184639, 'z': -0.500846326351166}","{'x': 0.600272953510284, 'y': 0.575342774391174, 'z': -0.092529833316803}","{'x': 0.635621011257172, 'y': 0.806670665740967, 'z': -0.061784345656633}","{'x': 0.629380941390991, 'y': 1.025299072265625, 'z': 0.088774658739567}","{'x': 0.674765706062317, 'y': 1.075853824615479, 'z': -0.053921949118376}"
"{'x': 0.600974440574646, 'y': 0.176610141992569, 'z': -0.042425744235516}","{'x': 0.654938817024231, 'y': 0.272287666797638, 'z': 0.215985596179962}","{'x': 0.740179419517517, 'y': 0.281906872987747, 'z': 0.077702134847641}","{'x': 0.643911182880402, 'y': 0.202703446149826, 'z': -0.108808077871799}","{'x': 0.623077392578125, 'y': 0.185310751199722, 'z': -0.136841043829918}","{'x': 0.615010619163513, 'y': 0.184485793113708, 'z': -0.10573510825634}","{'x': 0.671695351600647, 'y': 0.550594329833984, 'z': 0.089931286871433}","{'x': 0.794713318347931, 'y': 0.401238709688187, 'z': -0.208334535360336}","{'x': 0.842147588729858, 'y': 0.684203028678894, 'z': -0.270922690629959}","{'x': 0.972568154335022, 'y': 0.704046845436096, 'z': -0.413909673690796}","{'x': 0.512507140636444, 'y': 0.313872545957565, 'z': 0.074064746499062}","{'x': 0.430443286895752, 'y': 0.432692885398865, 'z': 0.013773472048342}","{'x': 0.367114752531052, 'y': 0.494791507720947, 'z': -0.069862939417362}","{'x': 0.341431647539139, 'y': 0.510416030883789, 'z': -0.092000834643841}","{'x': 0.346425324678421, 'y': 0.508941352367401, 'z': -0.115455716848373}","{'x': 0.587086498737335, 'y': 0.590407907962799, 'z': -0.090119428932667}","{'x': 0.629658997058868, 'y': 0.739478886127472, 'z': -0.424445569515228}","{'x': 0.637465834617615, 'y': 1.017772674560547, 'z': -0.482392936944962}","{'x': 0.673502326011658, 'y': 1.071408629417419, 'z': -0.683828949928284}"
"{'x': 0.605531454086304, 'y': 0.159883558750153, 'z': -0.237247079610825}","{'x': 0.679394781589508, 'y': 0.282598972320557, 'z': -0.074012011289597}","{'x': 0.728642046451569, 'y': 0.39638352394104, 'z': -0.265852957963943}","{'x': 0.68323427438736, 'y': 0.347432851791382, 'z': -0.58437705039978}","{'x': 0.667870223522186, 'y': 0.341711640357971, 'z': -0.656118750572205}","{'x': 0.661026895046234, 'y': 0.318310111761093, 'z': -0.64295095205307}","{'x': 0.666029036045074, 'y': 0.578296482563019, 'z': -0.06595242023468}","{'x': 0.629946887493134, 'y': 0.805089473724365, 'z': -0.085760846734047}","{'x': 0.671128273010254, 'y': 1.034789323806763, 'z': 0.103809788823128}","{'x': 0.641804158687592, 'y': 1.091054439544678, 'z': -0.056814432144165}","{'x': 0.549186050891876, 'y': 0.304470419883728, 'z': 0.105058453977108}","{'x': 0.49411877989769, 'y': 0.435152322053909, 'z': 0.190024703741074}","{'x': 0.42968076467514, 'y': 0.479871332645416, 'z': 0.074806615710258}","{'x': 0.406666576862335, 'y': 0.490826159715652, 'z': 0.059198256582022}","{'x': 0.408601373434067, 'y': 0.48732927441597, 'z': 0.005579988937825}","{'x': 0.583308458328247, 'y': 0.583031892776489, 'z': 0.066236205399036}","{'x': 0.581112444400787, 'y': 0.805172264575958, 'z': 0.043391242623329}","{'x': 0.630173146724701, 'y': 0.998497486114502, 'z': 0.291507422924042}","{'x': 0.610051155090332, 'y': 1.060832858085632, 'z': 0.167548656463623}"
"{'x': 0.677718102931976, 'y': 0.104873061180115, 'z': -0.33006078004837}","{'x': 0.731561124324799, 'y': 0.266338139772415, 'z': 0.015629101544619}","{'x': 0.7562175989151, 'y': 0.440324187278748, 'z': 0.084518305957317}","{'x': 0.782617390155792, 'y': 0.565982639789581, 'z': -0.09097994863987}","{'x': 0.794082462787628, 'y': 0.607510209083557, 'z': -0.126002058386803}","{'x': 0.809693336486816, 'y': 0.621863424777985, 'z': -0.189584642648697}","{'x': 0.702554702758789, 'y': 0.586935579776764, 'z': 0.053857803344727}","{'x': 0.749213516712189, 'y': 0.818092048168182, 'z': 0.025701189413667}","{'x': 0.7572181224823, 'y': 1.062792539596558, 'z': 0.218403562903404}","{'x': 0.805348873138428, 'y': 1.117433309555054, 'z': 0.081675179302692}","{'x': 0.568414926528931, 'y': 0.253129214048386, 'z': -0.092078424990177}","{'x': 0.48049795627594, 'y': 0.396862506866455, 'z': -0.136857628822327}","{'x': 0.403008908033371, 'y': 0.442606568336487, 'z': -0.344017922878265}","{'x': 0.373575448989868, 'y': 0.450178772211075, 'z': -0.396228015422821}","{'x': 0.371737897396088, 'y': 0.446342885494232, 'z': -0.447404235601425}","{'x': 0.608950853347778, 'y': 0.603578925132751, 'z': -0.053696263581514}","{'x': 0.652321398258209, 'y': 0.838201582431793, 'z': -0.062419481575489}","{'x': 0.68649810552597, 'y': 1.084640264511108, 'z': 0.054600890725851}","{'x': 0.720171570777893, 'y': 1.138124942779541, 'z': -0.121414288878441}"
"{'x': 0.671634435653687, 'y': 0.085138440132141, 'z': -0.251815617084503}","{'x': 0.762383222579956, 'y': 0.228286743164062, 'z': -0.069514364004135}","{'x': 0.822359502315521, 'y': 0.381603360176086, 'z': -0.10980486124754}","{'x': 0.885572850704193, 'y': 0.490995705127716, 'z': -0.339023351669312}","{'x': 0.916204631328583, 'y': 0.514752388000488, 'z': -0.398663878440857}","{'x': 0.90102618932724, 'y': 0.51029247045517, 'z': -0.427291333675385}","{'x': 0.753054559230804, 'y': 0.565125524997711, 'z': -0.059640541672707}","{'x': 0.756383001804352, 'y': 0.817351937294006, 'z': -0.30244380235672}","{'x': 0.792096197605133, 'y': 1.089039087295532, 'z': -0.136908173561096}","{'x': 0.776822328567505, 'y': 1.16811466217041, 'z': -0.306949973106384}","{'x': 0.601572811603546, 'y': 0.262190729379654, 'z': 0.091581366956234}","{'x': 0.567458689212799, 'y': 0.41753762960434, 'z': 0.143402367830276}","{'x': 0.552575886249542, 'y': 0.551757097244263, 'z': -0.036115661263466}","{'x': 0.542787671089172, 'y': 0.590125381946564, 'z': -0.0601706802845}","{'x': 0.548844218254089, 'y': 0.584350407123566, 'z': -0.122263111174107}","{'x': 0.650591492652893, 'y': 0.587294936180115, 'z': 0.059706807136536}","{'x': 0.664065778255463, 'y': 0.837375044822693, 'z': 0.011903258040547}","{'x': 0.727548718452454, 'y': 1.053804516792297, 'z': 0.286539673805237}","{'x': 0.713797450065613, 'y': 1.138343811035156, 'z': 0.174282908439636}"
"{'x': 0.855001926422119, 'y': 0.01340389251709, 'z': -0.156199172139168}","{'x': 0.802388906478882, 'y': 0.150836765766144, 'z': -0.013555763289332}","{'x': 0.821354806423187, 'y': 0.487054407596588, 'z': 0.03744050860405}","{'x': 0.826181054115295, 'y': 0.577207803726196, 'z': 0.015600211918354}","{'x': 0.825319111347198, 'y': 0.600469768047333, 'z': 0.005189123097807}","{'x': 0.833219051361084, 'y': 0.590586423873901, 'z': -0.027045842260122}","{'x': 0.827407598495483, 'y': 0.816617488861084, 'z': 0.100104101002216}","{'x': 0.803514003753662, 'y': 1.019784688949585, 'z': 0.18129089474678}","{'x': 0.766217768192291, 'y': 1.208773970603943, 'z': 0.691532790660858}","{'x': 0.832181096076965, 'y': 1.319098472595215, 'z': 0.739351511001587}","{'x': 0.773411929607391, 'y': 0.157921373844147, 'z': -0.365209192037582}","{'x': 0.791257202625275, 'y': 0.397198975086212, 'z': -0.404882997274399}","{'x': 0.830565690994263, 'y': 0.462295413017273, 'z': -0.328688263893127}","{'x': 0.840224087238312, 'y': 0.48525857925415, 'z': -0.365734666585922}","{'x': 0.843444526195526, 'y': 0.466689109802246, 'z': -0.357326954603195}","{'x': 0.798243165016174, 'y': 0.80323737859726, 'z': -0.099972732365131}","{'x': 0.7923983335495, 'y': 0.920395970344543, 'z': 0.043779123574495}","{'x': 0.768090963363647, 'y': 1.174879431724548, 'z': 0.404620230197906}","{'x': 0.832108497619629, 'y': 1.258697032928467, 'z': 0.396475285291672}"
"{'x': 0.813443958759308, 'y': 0.145432710647583, 'z': -0.094542771577835}","{'x': 0.796943426132202, 'y': 0.150857746601105, 'z': 0.000455807137769}","{'x': 0.811298966407776, 'y': 0.183268249034882, 'z': 0.044683143496513}","{'x': 0.825216770172119, 'y': 0.187002584338188, 'z': 0.033665135502815}","{'x': 0.825760245323181, 'y': 0.184819027781487, 'z': 0.033647160977125}","{'x': 0.827534973621368, 'y': 0.186210319399834, 'z': 0.018764762207866}","{'x': 0.770634055137634, 'y': 0.306475132703781, 'z': 0.056294288486242}","{'x': 0.805070459842682, 'y': 0.419374406337738, 'z': 0.063088424503803}","{'x': 0.792879819869995, 'y': 0.545794308185577, 'z': 0.116399049758911}","{'x': 0.81317675113678, 'y': 0.56285548210144, 'z': 0.087281309068203}","{'x': 0.79410582780838, 'y': 0.178084641695023, 'z': -0.170248880982399}","{'x': 0.820478200912476, 'y': 0.22308449447155, 'z': -0.174418836832047}","{'x': 0.836679756641388, 'y': 0.237121492624283, 'z': -0.131640926003456}","{'x': 0.839551091194153, 'y': 0.243846118450165, 'z': -0.147817447781563}","{'x': 0.836317420005798, 'y': 0.238577216863632, 'z': -0.14673900604248}","{'x': 0.764501869678497, 'y': 0.312851876020432, 'z': -0.056330237537622}","{'x': 0.796727418899536, 'y': 0.345291435718536, 'z': -0.067402169108391}","{'x': 0.800801634788513, 'y': 0.372748613357544, 'z': 0.05464068800211}","{'x': 0.815808773040771, 'y': 0.37454092502594, 'z': 0.058451157063246}"
