nose,left_shoulder,left_elbow,left_wrist,left_pinky,left_index,left_hip,left_knee,left_heel,left_foot_index,right_shoulder,right_elbow,right_wrist,right_pinky,right_index,right_hip,right_knee,right_heel,right_foot_index
"{'x': 0.591516971588135, 'y': 0.203207492828369, 'z': -0.243323028087616}","{'x': 0.664051294326782, 'y': 0.331567615270615, 'z': -0.017806250602007}","{'x': 0.694059491157532, 'y': 0.484945952892303, 'z': -0.010019285604358}","{'x': 0.689015030860901, 'y': 0.612864673137665, 'z': -0.102547258138657}","{'x': 0.69176983833313, 'y': 0.652255296707153, 'z': -0.13289287686348}","{'x': 0.684697687625885, 'y': 0.646451413631439, 'z': -0.173702508211136}","{'x': 0.625305354595184, 'y': 0.623864412307739, 'z': -0.005951403640211}","{'x': 0.605808079242706, 'y': 0.853396892547607, 'z': 0.017684170976281}","{'x': 0.606644868850708, 'y': 1.082405805587769, 'z': 0.201606512069702}","{'x': 0.597009658813477, 'y': 1.145206451416016, 'z': 0.042135063558817}","{'x': 0.528463006019592, 'y': 0.285030364990234, 'z': -0.004469002597034}","{'x': 0.486001908779144, 'y': 0.150735318660736, 'z': -0.139450326561928}","{'x': 0.483681380748749, 'y': 0.022860050201416, 'z': -0.226441085338593}","{'x': 0.476652532815933, 'y': -0.008586645126343, 'z': -0.286295205354691}","{'x': 0.479164630174637, 'y': -0.012719750404358, 'z': -0.268994718790054}","{'x': 0.543847680091858, 'y': 0.612888813018799, 'z': 0.006317643914372}","{'x': 0.543514311313629, 'y': 0.85317188501358, 'z': -0.001137960702181}","{'x': 0.567778825759888, 'y': 1.093811392784119, 'z': 0.127730637788773}","{'x': 0.562090277671814, 'y': 1.155325651168823, 'z': -0.038716822862625}"
"{'x': 0.574718177318573, 'y': 0.232101291418076, 'z': -0.25781986117363}","{'x': 0.633938193321228, 'y': 0.352894365787506, 'z': -0.04337253421545}","{'x': 0.657604217529297, 'y': 0.495313137769699, 'z': -0.043200008571148}","{'x': 0.64274799823761, 'y': 0.612640380859375, 'z': -0.137467116117477}","{'x': 0.642635226249695, 'y': 0.646879255771637, 'z': -0.171281829476357}","{'x': 0.632402658462524, 'y': 0.639480412006378, 'z': -0.206476718187332}","{'x': 0.593401908874512, 'y': 0.636499226093292, 'z': -0.016570929437876}","{'x': 0.565697014331818, 'y': 0.866482615470886, 'z': 0.010049522854388}","{'x': 0.551273047924042, 'y': 1.093222618103027, 'z': 0.181081190705299}","{'x': 0.536394715309143, 'y': 1.151536226272583, 'z': 0.024808950722218}","{'x': 0.503705263137817, 'y': 0.312771499156952, 'z': -0.000743470620364}","{'x': 0.449261963367462, 'y': 0.189812004566193, 'z': -0.145334213972092}","{'x': 0.440081596374512, 'y': 0.057655036449432, 'z': -0.277142554521561}","{'x': 0.437757909297943, 'y': 0.020476937294006, 'z': -0.341183453798294}","{'x': 0.442332148551941, 'y': 0.016488552093506, 'z': -0.322964906692505}","{'x': 0.51047271490097, 'y': 0.62810754776001, 'z': 0.016855593770742}","{'x': 0.500422596931458, 'y': 0.874959588050842, 'z': 0.005145528353751}","{'x': 0.51926577091217, 'y': 1.106287598609924, 'z': 0.1373291015625}","{'x': 0.50777268409729, 'y': 1.163460612297058, 'z': -0.024101601913571}"
"{'x': 0.672295808792114, 'y': 0.691857039928436, 'z': -0.830915808677673}","{'x': 0.772881269454956, 'y': 0.88182258605957, 'z': -0.342189162969589}","{'x': 0.763110518455505, 'y': 1.077951073646545, 'z': -0.352052241563797}","{'x': 0.771019876003265, 'y': 1.176993012428284, 'z': -0.462559223175049}","{'x': 0.778470039367676, 'y': 1.211053490638733, 'z': -0.515699207782745}","{'x': 0.780913412570953, 'y': 1.209519624710083, 'z': -0.569644272327423}","{'x': 0.731334030628204, 'y': 1.280441522598267, 'z': 0.048610989004374}","{'x': 0.741432726383209, 'y': 1.483177423477173, 'z': -0.009536006487906}","{'x': 0.7263023853302, 'y': 1.837066054344177, 'z': 0.41827592253685}","{'x': 0.703865647315979, 'y': 1.876091122627258, 'z': 0.195249110460281}","{'x': 0.564002156257629, 'y': 0.821093678474426, 'z': -0.383050560951233}","{'x': 0.500262022018433, 'y': 0.59674733877182, 'z': -0.671093344688416}","{'x': 0.518624782562256, 'y': 0.338663578033447, 'z': -0.819241106510162}","{'x': 0.51775860786438, 'y': 0.293379426002502, 'z': -0.904989659786224}","{'x': 0.525371074676514, 'y': 0.293391108512878, 'z': -0.88002997636795}","{'x': 0.590741276741028, 'y': 1.283529162406921, 'z': -0.044358786195517}","{'x': 0.624604284763336, 'y': 1.485939860343933, 'z': -0.142209783196449}","{'x': 0.611248791217804, 'y': 1.785118937492371, 'z': 0.181762829422951}","{'x': 0.631606340408325, 'y': 1.817975282669067, 'z': -0.088667251169682}"
"{'x': 0.553317785263062, 'y': 0.209129720926285, 'z': -0.229368045926094}","{'x': 0.617395877838135, 'y': 0.350983113050461, 'z': 0.032512493431568}","{'x': 0.634195148944855, 'y': 0.49335104227066, 'z': 0.002648234833032}","{'x': 0.626122295856476, 'y': 0.601683020591736, 'z': -0.16381548345089}","{'x': 0.624334216117859, 'y': 0.637753903865814, 'z': -0.193755984306335}","{'x': 0.616659104824066, 'y': 0.632263600826263, 'z': -0.220530986785889}","{'x': 0.577063679695129, 'y': 0.625840485095978, 'z': -0.002623504260555}","{'x': 0.563085973262787, 'y': 0.848460972309113, 'z': -0.033171974122524}","{'x': 0.54033100605011, 'y': 1.085418701171875, 'z': 0.116794370114803}","{'x': 0.540556192398071, 'y': 1.147385358810425, 'z': -0.043426930904388}","{'x': 0.478125631809235, 'y': 0.322437942028046, 'z': 0.06110106408596}","{'x': 0.392554938793182, 'y': 0.263174831867218, 'z': -0.180698230862617}","{'x': 0.361740052700043, 'y': 0.129402279853821, 'z': -0.442908525466919}","{'x': 0.347232162952423, 'y': 0.097418785095215, 'z': -0.508329212665558}","{'x': 0.352663636207581, 'y': 0.090391516685486, 'z': -0.487225741147995}","{'x': 0.491494864225388, 'y': 0.616046965122223, 'z': 0.002423598663881}","{'x': 0.496449917554855, 'y': 0.842418670654297, 'z': -0.040294386446476}","{'x': 0.491762101650238, 'y': 1.07645320892334, 'z': 0.05417649820447}","{'x': 0.487919867038727, 'y': 1.133271455764771, 'z': -0.119893938302994}"
"{'x': 0.553575396537781, 'y': 0.20249080657959, 'z': -0.225097134709358}","{'x': 0.607286334037781, 'y': 0.348630666732788, 'z': 0.049644876271486}","{'x': 0.619208455085754, 'y': 0.487815618515015, 'z': 0.060209549963474}","{'x': 0.625051915645599, 'y': 0.605770349502563, 'z': -0.054306652396917}","{'x': 0.631239891052246, 'y': 0.64147824048996, 'z': -0.066294074058533}","{'x': 0.623965084552765, 'y': 0.634930789470673, 'z': -0.105646722018719}","{'x': 0.574387013912201, 'y': 0.617008984088898, 'z': 0.014189656823874}","{'x': 0.593300461769104, 'y': 0.78871476650238, 'z': -0.255247324705124}","{'x': 0.573182940483093, 'y': 1.006775379180908, 'z': -0.10806842148304}","{'x': 0.585125625133514, 'y': 1.095690011978149, 'z': -0.274136602878571}","{'x': 0.470173239707947, 'y': 0.323923140764236, 'z': 0.024792168289423}","{'x': 0.379593133926392, 'y': 0.295341700315475, 'z': -0.215894669294357}","{'x': 0.356828361749649, 'y': 0.174468338489532, 'z': -0.483613759279251}","{'x': 0.353763908147812, 'y': 0.139910042285919, 'z': -0.539070725440979}","{'x': 0.359685093164444, 'y': 0.132424890995026, 'z': -0.520665764808655}","{'x': 0.48668959736824, 'y': 0.612110018730164, 'z': -0.013289086520672}","{'x': 0.488954931497574, 'y': 0.77991509437561, 'z': -0.246529191732407}","{'x': 0.50077497959137, 'y': 0.986799716949463, 'z': -0.160074457526207}","{'x': 0.51121586561203, 'y': 1.071313619613647, 'z': -0.352115362882614}"
"{'x': 0.699976682662964, 'y': 0.202647507190704, 'z': -0.201603308320045}","{'x': 0.752330660820007, 'y': 0.337545543909073, 'z': 0.047398369759321}","{'x': 0.782014906406403, 'y': 0.476651221513748, 'z': 0.015965322032571}","{'x': 0.767063617706299, 'y': 0.609416604042053, 'z': -0.124214090406895}","{'x': 0.768594443798065, 'y': 0.647947490215302, 'z': -0.150460302829742}","{'x': 0.757476210594177, 'y': 0.643147051334381, 'z': -0.180012598633766}","{'x': 0.707075595855713, 'y': 0.62119197845459, 'z': 0.003038302995265}","{'x': 0.67886209487915, 'y': 0.830721735954285, 'z': 0.007303734309971}","{'x': 0.67011547088623, 'y': 1.073302388191223, 'z': 0.150055482983589}","{'x': 0.652678191661835, 'y': 1.120847582817078, 'z': 0.005979616194963}","{'x': 0.624782204627991, 'y': 0.299217373132706, 'z': 0.012052005156875}","{'x': 0.560496687889099, 'y': 0.208016961812973, 'z': -0.267185121774673}","{'x': 0.584852278232574, 'y': 0.074963092803955, 'z': -0.458532840013504}","{'x': 0.590768933296204, 'y': 0.034570336341858, 'z': -0.529782176017761}","{'x': 0.595339775085449, 'y': 0.034263372421265, 'z': -0.487410426139832}","{'x': 0.630419909954071, 'y': 0.599998652935028, 'z': -0.002660887083039}","{'x': 0.608630895614624, 'y': 0.83538830280304, 'z': -0.0276462379843}","{'x': 0.616780817508698, 'y': 1.074499845504761, 'z': 0.061938367784023}","{'x': 0.613921880722046, 'y': 1.122573614120483, 'z': -0.097158223390579}"
"{'x': 0.504545867443085, 'y': 0.19547563791275, 'z': -0.251021206378937}","{'x': 0.574816465377808, 'y': 0.339972406625748, 'z': -0.03110240958631}","{'x': 0.574033796787262, 'y': 0.48826938867569, 'z': 0.018716493621469}","{'x': 0.552614867687225, 'y': 0.595092535018921, 'z': -0.033806264400482}","{'x': 0.5564826130867, 'y': 0.626722097396851, 'z': -0.056959021836519}","{'x': 0.544323563575745, 'y': 0.619299829006195, 'z': -0.093064367771149}","{'x': 0.525824427604675, 'y': 0.624382615089417, 'z': -0.00604724092409}","{'x': 0.541207790374756, 'y': 0.842054009437561, 'z': 0.002730163279921}","{'x': 0.545512795448303, 'y': 1.049957990646362, 'z': 0.223561733961105}","{'x': 0.544636428356171, 'y': 1.114974975585938, 'z': 0.08334992825985}","{'x': 0.4369136095047, 'y': 0.301682561635971, 'z': 0.014134515076876}","{'x': 0.391782701015472, 'y': 0.222036451101303, 'z': -0.097209200263023}","{'x': 0.376227676868439, 'y': 0.169224977493286, 'z': -0.205816671252251}","{'x': 0.377312183380127, 'y': 0.139201819896698, 'z': -0.255036532878876}","{'x': 0.377191841602325, 'y': 0.136593282222748, 'z': -0.244933500885963}","{'x': 0.449740082025528, 'y': 0.617217302322388, 'z': 0.006573440041393}","{'x': 0.462595820426941, 'y': 0.834787964820862, 'z': 0.015057387761772}","{'x': 0.494868367910385, 'y': 1.054843783378601, 'z': 0.177320972084999}","{'x': 0.488342642784119, 'y': 1.108935832977295, 'z': 0.024885166436434}"
"{'x': 0.625750958919525, 'y': 0.195264786481857, 'z': -0.076530918478966}","{'x': 0.658918917179108, 'y': 0.322146952152252, 'z': 0.154138788580894}","{'x': 0.675526440143585, 'y': 0.474374026060104, 'z': 0.105137459933758}","{'x': 0.66528046131134, 'y': 0.588370025157928, 'z': -0.022296275943518}","{'x': 0.677506506443024, 'y': 0.618348062038422, 'z': -0.04233768209815}","{'x': 0.666365325450897, 'y': 0.614951491355896, 'z': -0.07013650983572}","{'x': 0.625646829605103, 'y': 0.600627720355988, 'z': 0.038164492696524}","{'x': 0.617851674556732, 'y': 0.804285883903503, 'z': -0.062564194202423}","{'x': 0.593470454216003, 'y': 1.038160562515259, 'z': 0.017769711092114}","{'x': 0.607454597949982, 'y': 1.083264470100403, 'z': -0.130916997790337}","{'x': 0.560072779655457, 'y': 0.262973636388779, 'z': 0.001656445092522}","{'x': 0.548019886016846, 'y': 0.174934774637222, 'z': -0.276776731014252}","{'x': 0.576733767986298, 'y': 0.064287900924683, 'z': -0.354586511850357}","{'x': 0.577962398529053, 'y': 0.037478983402252, 'z': -0.409780323505402}","{'x': 0.581018626689911, 'y': 0.03960120677948, 'z': -0.374510139226913}","{'x': 0.54747074842453, 'y': 0.576031565666199, 'z': -0.038400076329708}","{'x': 0.529893159866333, 'y': 0.791244089603424, 'z': -0.15279258787632}","{'x': 0.522973716259003, 'y': 1.017645359039307, 'z': -0.11146455258131}","{'x': 0.52780020236969, 'y': 1.073465585708618, 'z': -0.282430708408356}"
"{'x': 0.618950843811035, 'y': 0.10005658864975, 'z': -0.150329649448395}","{'x': 0.687458634376526, 'y': 0.277179270982742, 'z': 0.178991079330444}","{'x': 0.716302394866943, 'y': 0.463889807462692, 'z': 0.214103385806084}","{'x': 0.711538374423981, 'y': 0.596981287002563, 'z': 0.075164824724197}","{'x': 0.711965024471283, 'y': 0.639330208301544, 'z': 0.056302167475224}","{'x': 0.698928117752075, 'y': 0.637184143066406, 'z': 0.006430450361222}","{'x': 0.648781299591064, 'y': 0.611055016517639, 'z': 0.04470694065094}","{'x': 0.665238559246063, 'y': 0.88184255361557, 'z': -0.06267137825489}","{'x': 0.6441370844841, 'y': 1.178130865097046, 'z': 0.049932960420847}","{'x': 0.66700541973114, 'y': 1.249449610710144, 'z': -0.114319123327732}","{'x': 0.537705540657043, 'y': 0.237471848726273, 'z': 0.055485602468252}","{'x': 0.468731343746185, 'y': 0.147382259368896, 'z': -0.222595661878586}","{'x': 0.437268197536469, 'y': 0.01051539182663, 'z': -0.421674251556396}","{'x': 0.423223912715912, 'y': -0.040822744369507, 'z': -0.491245597600937}","{'x': 0.425072938203812, 'y': -0.046037375926971, 'z': -0.466748654842377}","{'x': 0.550460994243622, 'y': 0.590077936649323, 'z': -0.044543627649546}","{'x': 0.531686365604401, 'y': 0.869729995727539, 'z': -0.148533195257187}","{'x': 0.495185405015945, 'y': 1.158458352088928, 'z': -0.130405455827713}","{'x': 0.510201096534729, 'y': 1.230391979217529, 'z': -0.327279299497604}"
"{'x': 0.637223839759827, 'y': 0.18234920501709, 'z': -0.184662044048309}","{'x': 0.713226079940796, 'y': 0.32768440246582, 'z': 0.070387162268162}","{'x': 0.747109055519104, 'y': 0.470526903867722, 'z': 0.076546847820282}","{'x': 0.742775499820709, 'y': 0.59654837846756, 'z': -0.058581113815308}","{'x': 0.747760117053986, 'y': 0.635707139968872, 'z': -0.076226025819778}","{'x': 0.73663991689682, 'y': 0.633369863033295, 'z': -0.116135612130165}","{'x': 0.669072926044464, 'y': 0.623013079166412, 'z': 0.00265876762569}","{'x': 0.662956357002258, 'y': 0.845693051815033, 'z': 0.005473933648318}","{'x': 0.634713888168335, 'y': 1.066301107406616, 'z': 0.191463351249695}","{'x': 0.631312191486359, 'y': 1.119650363922119, 'z': 0.046614654362202}","{'x': 0.574261128902435, 'y': 0.309734255075455, 'z': 0.06705067306757}","{'x': 0.47878310084343, 'y': 0.266000509262085, 'z': -0.170546114444733}","{'x': 0.448096305131912, 'y': 0.135877698659897, 'z': -0.420398086309433}","{'x': 0.435401022434235, 'y': 0.097509384155273, 'z': -0.484048098325729}","{'x': 0.440380990505219, 'y': 0.087972164154053, 'z': -0.461205959320068}","{'x': 0.583995938301086, 'y': 0.608709156513214, 'z': -0.002714910544455}","{'x': 0.570256590843201, 'y': 0.842792689800262, 'z': -0.018495077267289}","{'x': 0.576447188854218, 'y': 1.067045331001282, 'z': 0.118766307830811}","{'x': 0.57381135225296, 'y': 1.121087074279785, 'z': -0.037471380084753}"
