nose,left_shoulder,left_elbow,left_wrist,left_pinky,left_index,left_hip,left_knee,left_heel,left_foot_index,right_shoulder,right_elbow,right_wrist,right_pinky,right_index,right_hip,right_knee,right_heel,right_foot_index
"{'x': 0.605657041072845, 'y': 0.223142564296722, 'z': -0.293363064527512}","{'x': 0.672858834266663, 'y': 0.339932829141617, 'z': -0.067389756441116}","{'x': 0.737771391868591, 'y': 0.424059718847275, 'z': -0.094830550253391}","{'x': 0.807820558547974, 'y': 0.461286187171936, 'z': -0.229224339127541}","{'x': 0.833929419517517, 'y': 0.46989107131958, 'z': -0.256334543228149}","{'x': 0.830667972564697, 'y': 0.468104660511017, 'z': -0.296228379011154}","{'x': 0.619766354560852, 'y': 0.609626829624176, 'z': -0.054055068641901}","{'x': 0.580608606338501, 'y': 0.807875573635101, 'z': -0.148995816707611}","{'x': 0.566770553588867, 'y': 0.992267787456512, 'z': 0.076812192797661}","{'x': 0.531852602958679, 'y': 1.043464303016663, 'z': -0.114942781627178}","{'x': 0.548341035842896, 'y': 0.332708418369293, 'z': 0.024864779785275}","{'x': 0.508604526519775, 'y': 0.447701334953308, 'z': -0.081275455653667}","{'x': 0.518153548240662, 'y': 0.466430008411407, 'z': -0.383069157600403}","{'x': 0.516668617725372, 'y': 0.479518622159958, 'z': -0.436407893896103}","{'x': 0.52484518289566, 'y': 0.465899139642715, 'z': -0.458448678255081}","{'x': 0.548332214355469, 'y': 0.569680452346802, 'z': 0.05427547544241}","{'x': 0.436678141355515, 'y': 0.479764014482498, 'z': -0.282783478498459}","{'x': 0.415661990642548, 'y': 0.741673767566681, 'z': -0.161228463053703}","{'x': 0.3293736577034, 'y': 0.730319678783417, 'z': -0.322677344083786}"
"{'x': 0.593083560466766, 'y': 0.237531214952469, 'z': -0.240639761090279}","{'x': 0.663791358470917, 'y': 0.346895039081573, 'z': 0.001261771074496}","{'x': 0.688608825206757, 'y': 0.470513761043549, 'z': 0.091363660991192}","{'x': 0.717725276947021, 'y': 0.577131450176239, 'z': 0.0390699878335}","{'x': 0.727683186531067, 'y': 0.597596049308777, 'z': 0.033451225608587}","{'x': 0.72258186340332, 'y': 0.594405055046082, 'z': -0.022697178646922}","{'x': 0.60983681678772, 'y': 0.61656379699707, 'z': -0.023324389010668}","{'x': 0.580191433429718, 'y': 0.808303952217102, 'z': -0.130564317107201}","{'x': 0.539157569408417, 'y': 0.989037990570068, 'z': 0.04881788417697}","{'x': 0.542432069778442, 'y': 1.025517344474792, 'z': -0.144467487931252}","{'x': 0.536192715167999, 'y': 0.350523173809052, 'z': 0.045969299972057}","{'x': 0.506895959377289, 'y': 0.47187066078186, 'z': 0.070404373109341}","{'x': 0.458387970924377, 'y': 0.534797370433807, 'z': -0.085718765854836}","{'x': 0.438474327325821, 'y': 0.553274989128113, 'z': -0.112270675599575}","{'x': 0.437613904476166, 'y': 0.549452185630798, 'z': -0.160043209791183}","{'x': 0.536285161972046, 'y': 0.57846599817276, 'z': 0.02375559695065}","{'x': 0.450029879808426, 'y': 0.456285238265991, 'z': -0.406850516796112}","{'x': 0.435188829898834, 'y': 0.707039475440979, 'z': -0.373190224170685}","{'x': 0.363862216472626, 'y': 0.712360322475433, 'z': -0.549018263816833}"
"{'x': 0.576155483722687, 'y': 0.244479686021805, 'z': -0.38497593998909}","{'x': 0.656404912471771, 'y': 0.347726464271545, 'z': -0.149044126272202}","{'x': 0.729840040206909, 'y': 0.440280258655548, 'z': -0.168960452079773}","{'x': 0.790670156478882, 'y': 0.518028318881989, 'z': -0.287145227193832}","{'x': 0.802316129207611, 'y': 0.529637336730957, 'z': -0.308812439441681}","{'x': 0.798485398292542, 'y': 0.537984132766724, 'z': -0.351271390914917}","{'x': 0.59801971912384, 'y': 0.6235710978508, 'z': -0.041309956461191}","{'x': 0.554593980312347, 'y': 0.820284783840179, 'z': -0.075288079679012}","{'x': 0.546196103096008, 'y': 1.007945656776428, 'z': 0.153311908245087}","{'x': 0.522851347923279, 'y': 1.060087442398071, 'z': -0.053921803832054}","{'x': 0.530106663703918, 'y': 0.357145309448242, 'z': -0.052143558859825}","{'x': 0.48688617348671, 'y': 0.481019467115402, 'z': -0.036166727542877}","{'x': 0.477434247732162, 'y': 0.569457352161407, 'z': -0.191393673419952}","{'x': 0.47034540772438, 'y': 0.597314357757568, 'z': -0.220283284783363}","{'x': 0.473980486392975, 'y': 0.592093110084534, 'z': -0.262632817029953}","{'x': 0.530290722846985, 'y': 0.583752989768982, 'z': 0.041692961007357}","{'x': 0.45984759926796, 'y': 0.483773529529572, 'z': -0.396575570106506}","{'x': 0.461596995592117, 'y': 0.741230070590973, 'z': -0.25628587603569}","{'x': 0.382116317749023, 'y': 0.749594748020172, 'z': -0.434219598770142}"
"{'x': 0.56872946023941, 'y': 0.203225910663605, 'z': -0.154848292469978}","{'x': 0.635876953601837, 'y': 0.328388661146164, 'z': 0.054769769310951}","{'x': 0.645211279392242, 'y': 0.448510259389877, 'z': 0.115904755890369}","{'x': 0.669323682785034, 'y': 0.582155168056488, 'z': 0.062668420374393}","{'x': 0.682879745960236, 'y': 0.603813767433167, 'z': 0.056823998689651}","{'x': 0.677639722824097, 'y': 0.607301533222198, 'z': 0.004712427966297}","{'x': 0.567143380641937, 'y': 0.596312820911407, 'z': -0.033330574631691}","{'x': 0.538621604442596, 'y': 0.771132588386536, 'z': -0.219657734036446}","{'x': 0.492712259292603, 'y': 0.999810338020325, 'z': -0.08946018666029}","{'x': 0.477034479379654, 'y': 1.027296543121338, 'z': -0.29951223731041}","{'x': 0.501918852329254, 'y': 0.312886267900467, 'z': 0.136331304907799}","{'x': 0.458531409502029, 'y': 0.428942680358887, 'z': 0.168273106217384}","{'x': 0.435986965894699, 'y': 0.504168450832367, 'z': 0.033214841037989}","{'x': 0.420910000801086, 'y': 0.528341352939606, 'z': 0.010365171357989}","{'x': 0.424419969320297, 'y': 0.526224613189697, 'z': -0.028817057609558}","{'x': 0.495623499155045, 'y': 0.548596978187561, 'z': 0.033793497830629}","{'x': 0.444397181272507, 'y': 0.364817380905151, 'z': -0.490700095891953}","{'x': 0.415627062320709, 'y': 0.662692666053772, 'z': -0.521253108978271}","{'x': 0.358371078968048, 'y': 0.645183145999908, 'z': -0.714292705059052}"
"{'x': 0.586427330970764, 'y': 0.254480689764023, 'z': -0.04881963133812}","{'x': 0.601411819458008, 'y': 0.374981701374054, 'z': 0.205963790416718}","{'x': 0.594084620475769, 'y': 0.500122666358948, 'z': 0.193097859621048}","{'x': 0.636129021644592, 'y': 0.598474204540253, 'z': 0.045466858893633}","{'x': 0.648436546325684, 'y': 0.630499005317688, 'z': 0.027053872123361}","{'x': 0.648932099342346, 'y': 0.624318599700928, 'z': -0.007366558071226}","{'x': 0.530297160148621, 'y': 0.598358988761902, 'z': 0.082047514617443}","{'x': 0.532513380050659, 'y': 0.749336540699005, 'z': -0.057624064385891}","{'x': 0.476099908351898, 'y': 0.987056136131287, 'z': -0.047402199357748}","{'x': 0.52138751745224, 'y': 1.036380052566528, 'z': -0.17706997692585}","{'x': 0.506133317947388, 'y': 0.322553485631943, 'z': 0.023401258513331}","{'x': 0.445725232362747, 'y': 0.420510113239288, 'z': -0.095240533351898}","{'x': 0.473467975854874, 'y': 0.459102511405945, 'z': -0.255791962146759}","{'x': 0.474567234516144, 'y': 0.479298174381256, 'z': -0.297006547451019}","{'x': 0.488883018493652, 'y': 0.46746888756752, 'z': -0.302022069692612}","{'x': 0.473940402269363, 'y': 0.554771363735199, 'z': -0.081992991268635}","{'x': 0.567757725715637, 'y': 0.414313971996307, 'z': -0.411927580833435}","{'x': 0.659022450447083, 'y': 0.632049024105072, 'z': -0.44790855050087}","{'x': 0.706199109554291, 'y': 0.635039687156677, 'z': -0.580492973327637}"
"{'x': 0.544989407062531, 'y': 0.228390604257584, 'z': -0.028601491823792}","{'x': 0.574891567230225, 'y': 0.343214958906174, 'z': 0.249125972390175}","{'x': 0.614650547504425, 'y': 0.45622706413269, 'z': 0.256269365549088}","{'x': 0.67367696762085, 'y': 0.501613855361938, 'z': 0.068476155400276}","{'x': 0.694594323635101, 'y': 0.515629470348358, 'z': 0.038339950144291}","{'x': 0.694366157054901, 'y': 0.511850774288177, 'z': 0.004541358910501}","{'x': 0.557250142097473, 'y': 0.554485619068146, 'z': 0.081814214587212}","{'x': 0.599085092544556, 'y': 0.671414196491241, 'z': -0.095598742365837}","{'x': 0.545212805271149, 'y': 0.982032299041748, 'z': -0.20314034819603}","{'x': 0.604341506958008, 'y': 1.020344257354736, 'z': -0.335739642381668}","{'x': 0.462170481681824, 'y': 0.320231795310974, 'z': 0.063844107091427}","{'x': 0.421410739421844, 'y': 0.436240017414093, 'z': 0.045343827456236}","{'x': 0.397094428539276, 'y': 0.535894453525543, 'z': -0.057370405644178}","{'x': 0.389375418424606, 'y': 0.570485830307007, 'z': -0.080753870308399}","{'x': 0.397497057914734, 'y': 0.567790865898132, 'z': -0.121995821595192}","{'x': 0.489422619342804, 'y': 0.549868822097778, 'z': -0.081925831735134}","{'x': 0.583949387073517, 'y': 0.49720087647438, 'z': -0.38574343919754}","{'x': 0.690528631210327, 'y': 0.75998854637146, 'z': -0.475035905838013}","{'x': 0.761817336082458, 'y': 0.777210593223572, 'z': -0.587097942829132}"
"{'x': 0.535706698894501, 'y': 0.188286125659943, 'z': -0.111695699393749}","{'x': 0.60640424489975, 'y': 0.308331966400146, 'z': -0.019584774971008}","{'x': 0.665863692760468, 'y': 0.393007129430771, 'z': -0.169933915138245}","{'x': 0.675646603107452, 'y': 0.311979532241821, 'z': -0.322265982627869}","{'x': 0.680433392524719, 'y': 0.289478272199631, 'z': -0.350515872240067}","{'x': 0.682046413421631, 'y': 0.27897572517395, 'z': -0.348994731903076}","{'x': 0.533437132835388, 'y': 0.583003878593445, 'z': -0.079316981136799}","{'x': 0.48043417930603, 'y': 0.788671731948853, 'z': -0.24164517223835}","{'x': 0.451508313417435, 'y': 1.02033543586731, 'z': -0.178300231695175}","{'x': 0.411168307065964, 'y': 1.051909685134888, 'z': -0.374202311038971}","{'x': 0.481380552053452, 'y': 0.295509099960327, 'z': 0.188296347856522}","{'x': 0.45248818397522, 'y': 0.421376526355743, 'z': 0.208179920911789}","{'x': 0.430321156978607, 'y': 0.444138824939728, 'z': 0.104198612272739}","{'x': 0.42287939786911, 'y': 0.47306102514267, 'z': 0.094582788646221}","{'x': 0.418979287147522, 'y': 0.445725917816162, 'z': 0.068451642990112}","{'x': 0.46117091178894, 'y': 0.537600636482239, 'z': 0.079751595854759}","{'x': 0.369429588317871, 'y': 0.419241338968277, 'z': -0.322700619697571}","{'x': 0.356566518545151, 'y': 0.670856118202209, 'z': -0.321396768093109}","{'x': 0.281096339225769, 'y': 0.656756222248077, 'z': -0.462863504886627}"
"{'x': 0.565304160118103, 'y': 0.19634085893631, 'z': -0.343320965766907}","{'x': 0.635838687419891, 'y': 0.31878599524498, 'z': -0.231826633214951}","{'x': 0.620684087276459, 'y': 0.470153212547302, 'z': -0.205765962600708}","{'x': 0.563822150230408, 'y': 0.548117578029633, 'z': -0.182311370968819}","{'x': 0.554977834224701, 'y': 0.566777348518372, 'z': -0.204859510064125}","{'x': 0.55118066072464, 'y': 0.561875104904175, 'z': -0.222082212567329}","{'x': 0.538277208805084, 'y': 0.585417747497559, 'z': -0.080901376903057}","{'x': 0.486510932445526, 'y': 0.741585373878479, 'z': -0.149338960647583}","{'x': 0.461959779262543, 'y': 0.966021060943604, 'z': 0.001972254365683}","{'x': 0.415970414876938, 'y': 0.972213387489319, 'z': -0.151491791009903}","{'x': 0.517120659351349, 'y': 0.313153386116028, 'z': -0.004362329374999}","{'x': 0.461835563182831, 'y': 0.445034861564636, 'z': -0.082147754728794}","{'x': 0.470712333917618, 'y': 0.435123324394226, 'z': -0.315220773220062}","{'x': 0.471280455589294, 'y': 0.441194355487823, 'z': -0.355784773826599}","{'x': 0.478250086307526, 'y': 0.426605969667435, 'z': -0.374593764543533}","{'x': 0.485939174890518, 'y': 0.517220377922058, 'z': 0.080901376903057}","{'x': 0.351057529449463, 'y': 0.408985257148743, 'z': -0.227747574448586}","{'x': 0.18360424041748, 'y': 0.565665781497955, 'z': -0.22094914317131}","{'x': 0.11813747882843, 'y': 0.465819746255875, 'z': -0.344680666923523}"
"{'x': 0.489760667085648, 'y': 0.204816520214081, 'z': -0.199630588293076}","{'x': 0.572136998176575, 'y': 0.30653977394104, 'z': -0.124177925288677}","{'x': 0.656818628311157, 'y': 0.336950898170471, 'z': -0.371103912591934}","{'x': 0.719727396965027, 'y': 0.296738296747208, 'z': -0.706571280956268}","{'x': 0.741642951965332, 'y': 0.274762213230133, 'z': -0.770805060863495}","{'x': 0.734150111675262, 'y': 0.272016286849976, 'z': -0.788843274116516}","{'x': 0.53866583108902, 'y': 0.629919826984406, 'z': -0.112739041447639}","{'x': 0.474638432264328, 'y': 0.834733366966248, 'z': -0.18049244582653}","{'x': 0.502901971340179, 'y': 1.07513427734375, 'z': 0.002964555518702}","{'x': 0.444116711616516, 'y': 1.102511286735535, 'z': -0.167733684182167}","{'x': 0.45819479227066, 'y': 0.342881381511688, 'z': 0.166523814201355}","{'x': 0.399787545204163, 'y': 0.467535614967346, 'z': 0.29213160276413}","{'x': 0.329494297504425, 'y': 0.5295330286026, 'z': 0.205789983272552}","{'x': 0.309148371219635, 'y': 0.563178062438965, 'z': 0.206009969115257}","{'x': 0.315369188785553, 'y': 0.554911494255066, 'z': 0.149035513401031}","{'x': 0.474775165319443, 'y': 0.605733275413513, 'z': 0.112959019839764}","{'x': 0.34576427936554, 'y': 0.55048131942749, 'z': -0.095305733382702}","{'x': 0.319732010364532, 'y': 0.824910163879395, 'z': 0.022822780534625}","{'x': 0.223862946033478, 'y': 0.787909805774689, 'z': -0.11328898370266}"
"{'x': 0.491515308618546, 'y': 0.13221150636673, 'z': -0.223142609000206}","{'x': 0.560665965080261, 'y': 0.287374019622803, 'z': 0.009685008786619}","{'x': 0.559724032878876, 'y': 0.439417064189911, 'z': 0.017851408571005}","{'x': 0.564326822757721, 'y': 0.544614195823669, 'z': -0.090992599725723}","{'x': 0.573547601699829, 'y': 0.57312273979187, 'z': -0.106674559414387}","{'x': 0.570334017276764, 'y': 0.566920459270477, 'z': -0.150621265172958}","{'x': 0.475948244333267, 'y': 0.570111930370331, 'z': -0.006709774024785}","{'x': 0.436027139425278, 'y': 0.792903780937195, 'z': -0.175166949629784}","{'x': 0.390443027019501, 'y': 1.066907405853271, 'z': -0.083430543541908}","{'x': 0.399538487195969, 'y': 1.115935325622559, 'z': -0.29975488781929}","{'x': 0.409141957759857, 'y': 0.257377058267593, 'z': 0.066632859408855}","{'x': 0.3547023832798, 'y': 0.370739698410034, 'z': 0.026250248774886}","{'x': 0.285455465316772, 'y': 0.333415538072586, 'z': -0.183348849415779}","{'x': 0.258722007274628, 'y': 0.336165010929108, 'z': -0.220415309071541}","{'x': 0.263724684715271, 'y': 0.326008051633835, 'z': -0.257357805967331}","{'x': 0.397579878568649, 'y': 0.526761412620544, 'z': 0.007081678602844}","{'x': 0.343394875526428, 'y': 0.419682323932648, 'z': -0.536534011363983}","{'x': 0.371681332588196, 'y': 0.701271951198578, 'z': -0.513227999210358}","{'x': 0.33723446726799, 'y': 0.756725192070007, 'z': -0.715543985366821}"
